"","PC1","PC2","PC3","PC4","PC5"
"V4_1",-0.016,-0.003,0.001,-0.001,0.018
"V4_2",0.013,0.002,0,-0.004,-0.014
"V4_3",0.002,0,0,0.001,0
"V4_4",0,0,0,0.002,-0.001
"V5_1",0.009,0.02,-0.021,0.048,0.057
"V5_2",0.005,0.013,0.025,-0.014,-0.023
"V5_3",-0.011,-0.031,0.002,-0.034,-0.029
"V5_4",-0.005,-0.003,-0.004,-0.002,-0.005
"V6_1",0.021,-0.058,-0.005,-0.006,0.021
"V6_2",0.023,0.03,0.011,0,-0.007
"V6_3",-0.03,0.018,0.004,0,-0.014
"V6_4",-0.015,0.006,-0.004,0.003,0.001
"V7_1",-0.018,-0.012,0.013,0.035,-0.001
"V7_2",0.013,0.017,0.028,0.048,0.02
"V7_3",0.027,0.009,0.018,-0.034,-0.004
"V7_4",-0.024,-0.02,-0.053,-0.056,-0.008
"V8_1",-0.078,-0.058,0.009,-0.012,-0.016
"V8_2",0.058,0.025,-0.002,0.006,0.003
"V8_3",0.011,0.02,0.003,0.005,0.004
"V8_4",0.004,0.008,-0.004,-0.004,0.009
"V9_1",-0.163,-0.069,-0.059,0.093,0.009
"V9_2",0.02,-0.005,0.057,-0.065,0.007
"V9_3",0.068,0.031,0.023,-0.032,-0.008
"V9_4",0.069,0.035,-0.02,0,0.001
"V10_1",-0.016,-0.088,0.06,0.017,0.064
"V10_2",0.031,0.065,-0.039,0.005,-0.036
"V10_3",-0.011,0.015,-0.015,-0.02,-0.024
"V10_4",-0.006,0.004,-0.006,0.001,-0.002
"V11_1",-0.021,-0.056,0.002,0.089,0.047
"V11_2",0.016,0.001,0.004,0.019,-0.011
"V11_3",0.006,0.037,0.003,-0.08,-0.033
"V11_4",-0.001,0.017,-0.008,-0.028,-0.003
"V12_1",0.044,0.036,0.032,0.04,0.035
"V12_2",-0.044,-0.036,-0.032,-0.04,-0.035
"V13_1",-0.045,0.074,0.121,-0.045,0.069
"V13_2",0.045,-0.074,-0.121,0.045,-0.069
"V14_1",0.028,0.046,-0.021,-0.067,-0.014
"V14_2",-0.028,-0.046,0.021,0.067,0.014
"V15_1",0.025,-0.017,-0.001,0.041,0.007
"V15_2",-0.025,0.017,0.001,-0.041,-0.007
"V16_1",0.02,-0.027,-0.048,-0.015,0.058
"V16_2",-0.02,0.026,0.048,0.015,-0.058
"V17_1",0.02,0.061,0.07,-0.013,-0.005
"V17_2",-0.02,-0.061,-0.071,0.013,0.005
"V18_1",0.027,0.028,0.054,0.014,0.043
"V18_2",-0.027,-0.029,-0.054,-0.014,-0.043
"V19_1",-0.121,-0.067,-0.07,0.085,-0.021
"V19_2",0.121,0.067,0.07,-0.085,0.021
"V20_1",-0.003,-0.037,-0.012,0.023,-0.031
"V20_2",0.003,0.037,0.012,-0.023,0.031
"V21_1",-0.058,-0.099,-0.01,0.02,-0.009
"V21_2",0.058,0.099,0.01,-0.02,0.009
"V22_1",0.029,0.024,0.013,-0.021,0.018
