Item,a1,a2,a3,ak0,ak1,ak2,ak3,ak4,ak5,ak6,ak7,ak8,ak9,Codes Used,Item Type,Model Required,d0,d1,d2,ak3,d3,ak4,d4,ak5,ak6,d5,d6,ak7,d7,ak8,ak9,d8,d9
V161,-0.16501424,0.608759773,0.002661663,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,2.357662072,-0.021748415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V162,-1.7188838,-0.489620232,0.25170557,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,1.111234779,-2.384761986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V163,-1.326103394,0.037569795,-0.084475153,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,3.351646783,2.748982485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V5,-0.49877799,0.217060028,0.011064934,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,0.63917703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V6,-0.308804532,-1.510066842,-1.697400799,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,2.888473011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V7,-0.003455957,0.181215887,-0.930380213,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,1.314445075,-2.950771468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V8,1.880501024,-1.402662857,0.838186948,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-2.556323005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V9,3.952998977,-3.183365112,1.726104733,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,0.302889448,-3.59552042,3,-14.04786448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V10,1.878775085,-1.242016697,-1.402300714,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,3.042698304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V11,1.65545525,-2.541804037,-2.107825977,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,6.277516064,1.749319774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V70,0.749068671,-2.219432836,0.149860097,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,5.570594792,5.61160932,3,0.053920258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V71,1.650004523,0.220130288,-0.08478176,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,3.40317511,4.030051229,3,3.321327287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V72,1.466787108,-1.49821548,1.385884151,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,3.800990646,2.148147733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V73,0.285122514,-0.79019053,0.292940537,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,0.688984544,0.28158406,3,-2.48242943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V75,2.633213716,-1.409614523,1.123202615,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,1.131177126,-2.124667888,3,-9.184021043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V76,1.197314401,-0.509361759,-0.468895177,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,3.307265063,4.143933065,3,2.385006668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V77,1.319990545,-0.690914812,0.908999667,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,3.624776473,2.548990962,3,-2.215891825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V78,0.838457507,-1.664413471,0.492321667,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,4.2526605,3.25188801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V79,1.374128617,-0.336100174,1.614593594,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,2.923918333,1.547911025,3,-2.035823018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V74,1.42995483,-2.208227078,1.301548955,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,6.161742378,5.23816359,3,-1.046759447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V165,-1.422985562,-1.680106514,-0.375268133,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,-2.122051678,-6.935817608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V166,0.991145498,-0.866707655,-1.464890797,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,2.857192561,0.024403132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V167,-0.741791507,-0.190120198,-0.404304941,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-2.506244076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V168,3.257683488,-0.077629757,0.771683632,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,0.992652588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V169,3.375226852,-2.611983053,0.509454422,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,0.713165312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V45,4.480646196,1.696779954,2.02711894,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,2.756868686,0.99862614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V46,1.374567366,-0.626687478,0.654890168,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,-2.803046756,-6.82783567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V49,6.414032966,-0.840432271,0.199691689,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,0.7084308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V54,0.108491053,0.708246459,0.615578728,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,4.106307622,2.96839093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V51,4.067440182,1.680629351,2.189929823,0,1,2,3,NA,NA,NA,NA,NA,NA,4,Ordered,gpcm,0,5.964690287,5.421332761,3,-4.236828915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V52,1.372951293,0.123918012,0.828299787,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,4.763087222,1.367489958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V50,1.244023442,-0.25928949,1.666666146,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,5.592195399,6.142831895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V48,-0.106790115,-0.376887735,0.236325996,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-1.015057738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V47,3.392919152,0.531080408,0.453581108,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,4.522060855,2.013213133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V53,16.01074268,4.998011131,10.74994359,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,4.708537602,-30.65733682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V67,-0.352133654,0.133929909,-1.086315277,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,2.88421891,3.591114711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V68,2.639197922,-1.193116579,7.967464442,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,-7.996397449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V69,0.470789339,-0.777137813,0.442450153,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,-1.064884463,-3.815696756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V84,-0.199748787,-0.185521001,-0.688112065,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,0.801034658,-3.164672631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V85,-4.690278823,-1.625283971,-4.711714735,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,8.600864383,10.68170161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V86,-1.419310677,0.861900809,-1.992517267,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,2.581283213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V87,-1.672490466,-1.224370711,-0.30362789,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,0.766975139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V88,-1.65581697,-0.020051006,-1.017028604,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,1.980682385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V89,-0.901772087,0.706350626,-0.319479304,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,3.589386932,5.263756906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V108,1.994354729,-0.314696696,-0.52387617,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,1.800580051,0.113478005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V109,1.132263376,1.320879596,-0.600060518,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,3.333293285,0.812099038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V110,1.576729745,1.466677212,-2.056253914,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,1.359800439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V111,1.24598502,1.74200643,-2.141330097,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,6.55500519,7.326015062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V112,0.270630565,1.94299234,-3.131988775,0,1,NA,NA,NA,NA,NA,NA,NA,NA,2,BINARY,2PL,0,2.626373858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V113,0.225581933,1.486614305,-0.21319538,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,3.934015798,2.878916545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V114,0.583961415,1.761770497,-1.21401613,0,1,2,NA,NA,NA,NA,NA,NA,NA,3,Ordered,gpcm,0,5.634399097,4.652071615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
