Variable,a1,a2,a3,a4,ak0,ak1,ak2,d0,d1,d2,d,g,u,ak3,d3,ak4,d4,ak5,ak6,d5,d6,ak7,d7,ak8,ak9,d8,d9
V161,0.540275189,1.148610489,0.1151367,1.160349095,0,1,2,0,3.044117912,0.383035112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V162,-0.37735536,-0.42375025,-0.286391249,1.671298161,0,1,2,0,1.240474678,-2.22698793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V163,-0.293064805,0.362114799,-0.38122759,1.695961947,0,1,2,0,3.752880657,3.376810189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V5,-1.427767483,-0.424605282,0.310519649,-0.617937252,NA,NA,NA,NA,NA,NA,0.648238464,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V6,-0.360539153,-3.270704312,-2.893960986,-2.088748415,NA,NA,NA,NA,NA,NA,4.250421376,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V7,-0.063642296,0.489200114,-0.708524987,-0.07081564,0,1,2,0,1.299640875,-2.878374787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V8,1.393969793,-2.006189806,0.981243448,-1.857741926,NA,NA,NA,NA,NA,NA,-3.191312205,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V9,3.652341946,-3.417808706,1.4119915,-2.017716965,0,1,2,0,-0.310759731,-4.442380196,NA,NA,NA,3,-14.13524207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V10,1.5182174,-4.344573156,-4.590328255,-7.025838997,NA,NA,NA,NA,NA,NA,7.332851751,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V11,1.334389868,-1.088383367,-2.238306075,-1.677689717,0,1,2,0,5.545862421,1.183582684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V70,1.256515833,-2.259950794,-0.600598498,-0.628082261,0,1,2,0,5.790129051,5.606191629,NA,NA,NA,3,-0.355627509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V71,1.635734898,0.78196417,0.287784329,-0.863258846,0,1,2,0,3.763523964,4.692070746,NA,NA,NA,3,3.86931576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V72,1.337702512,-1.950731789,0.824305178,-0.897690171,0,1,2,0,3.902669783,2.066296022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V73,1.012444132,-0.774698538,-0.192899355,0.313823972,0,1,2,0,0.882793395,0.399635952,NA,NA,NA,3,-2.699174379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V75,2.087430624,-2.103333647,1.170313024,-2.164568385,0,1,2,0,0.82696161,-3.262655162,NA,NA,NA,3,-10.60078971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V76,1.012318321,-0.008591652,-0.440474539,-0.794017292,0,1,2,0,3.304189367,4.07435061,NA,NA,NA,3,2.275282429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V77,0.279581697,-2.059027841,1.529616459,-3.137628378,0,1,2,0,6.046985253,3.571110418,NA,NA,NA,3,-3.666855779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V78,0.680083578,-2.37423311,0.049494762,-1.299807449,0,1,2,0,5.255821515,3.830768782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V79,0.517484655,-2.081801489,2.635963988,-2.505524765,0,1,2,0,4.182983326,1.401190719,NA,NA,NA,3,-4.015075686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V74,1.754934031,-4.450124448,1.01931672,-2.403258019,0,1,2,0,10.06281331,8.174841235,NA,NA,NA,3,-1.758815391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V165,0.296636175,-1.354519273,-1.161730387,1.185275942,0,1,2,0,-1.984539952,-6.713389393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V166,2.639495367,0.407661626,-2.04356368,0.510176215,0,1,2,0,3.794144692,0.354025291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V167,3.893196117,4.927515154,-2.382176654,5.482797949,NA,NA,NA,NA,NA,NA,-8.912627136,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V168,2.136521074,0.000485618,1.06482502,-1.64764655,NA,NA,NA,NA,NA,NA,0.750311939,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V169,3.187807525,-3.039887112,0.4348603,-2.081353771,NA,NA,NA,NA,NA,NA,0.24153854,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V45,4.005871548,2.286040292,3.703354134,-2.238831157,0,1,2,0,3.650230466,2.065523223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V46,2.457925843,-0.300707047,0.169886444,0.281337246,0,1,2,0,-3.012298321,-8.157792955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V49,2.85222811,-0.937912466,1.475590812,-7.500550825,NA,NA,NA,NA,NA,NA,-0.767566993,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V54,-0.431862935,0.318725237,0.87822684,-0.353942547,0,1,2,0,4.202067653,3.018101316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V51,1.61484336,1.025125235,3.123447769,-2.839127827,0,1,2,0,5.771815762,4.997327313,NA,NA,NA,3,-4.282302522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V52,4.529664559,1.969037953,0.881006732,0.700294404,0,1,2,0,7.56926029,0.570590879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V50,1.754822348,-0.429805545,1.643444612,0.194946061,0,1,2,0,6.073715639,6.715114107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V48,0.111753245,-0.550094618,-0.087349468,-0.056136799,NA,NA,NA,NA,NA,NA,-1.087085503,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V47,2.113164149,0.792828347,1.022064564,-2.499749411,0,1,2,0,4.714973072,1.921172607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V53,4.555572401,1.229503409,11.43372216,-8.293319751,0,1,2,0,2.699562356,-22.75261141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V67,-0.054086365,0.796723985,-1.234652049,0.445827513,0,1,2,0,3.112722521,4.04285167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V68,4.277564108,-4.163181096,10.79028871,-0.458959225,NA,NA,NA,NA,NA,NA,-11.35086271,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V69,0.292084624,-1.447066912,0.620087294,-0.786418593,0,1,2,0,-1.373040102,-4.828030088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V84,0.075485643,0.141856455,-0.713486997,0.23060863,0,1,2,0,0.862081584,-3.083546116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V85,-2.384271849,-0.151812125,-4.688615501,2.159458114,0,1,2,0,7.50069816,9.563260886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V86,-2.496772554,1.131508875,-2.1870728,-0.373100645,NA,NA,NA,NA,NA,NA,2.91087688,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V87,-0.665339808,-1.215760577,-1.031238537,1.089227036,NA,NA,NA,NA,NA,NA,0.746667672,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V88,-3.404591311,-0.704144705,-1.327195108,-0.746487081,NA,NA,NA,NA,NA,NA,2.548479164,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V89,-2.136820395,0.21546765,0.496353406,-0.260051983,0,1,2,0,4.371231483,6.321315221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V108,0.761387234,0.052223905,-0.190292724,-1.650400211,0,1,2,0,1.482284902,-0.238521974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V109,-0.149070373,1.493326203,0.146548503,-1.460569246,0,1,2,0,3.280238462,0.683830904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V110,1.007069265,3.053003753,-1.673253618,-0.755826981,NA,NA,NA,NA,NA,NA,1.902811254,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V111,-0.394246411,2.227937417,-1.346883618,-1.594080561,0,1,2,0,6.579818411,7.306662871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V112,-2.77819759,3.354070185,-1.484379585,-3.008309641,NA,NA,NA,NA,NA,NA,2.550255706,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V113,-1.275332435,1.086783095,0.598847389,-1.25422816,0,1,2,0,3.981696861,2.803092585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V114,-0.894117423,1.682945302,-0.244587899,-1.403561797,0,1,2,0,5.6174779,4.65079596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V115,-0.978787615,2.373211477,-0.753498637,-2.559193586,0,1,2,0,7.209283962,7.856948217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V116,-1.562605316,5.009101603,-2.015849356,-2.903065268,0,1,2,0,9.511432005,14.83969133,NA,NA,NA,3,9.178807486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V117,-2.579248044,4.592319373,-1.209973831,-4.284333123,0,1,2,0,10.59190713,13.64448214,NA,NA,NA,3,6.166692331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V118,-1.283235642,3.307753812,-1.007560975,-3.298516654,0,1,2,0,8.697877199,8.619256677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V119,-8.380827199,4.105585451,-2.720929508,-11.25229697,0,1,2,0,24.31825321,9.132945134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V120,0.396055879,2.687808872,-2.202663701,-2.084011794,NA,NA,NA,NA,NA,NA,-0.486474095,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V121,0.140260357,1.535056535,-0.607078943,-1.590598924,0,1,2,0,5.989353507,5.225168875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V122,-1.39406916,0.712793638,-1.794918306,-2.113573565,NA,NA,NA,NA,NA,NA,-1.77729181,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V123,-1.597371636,2.257942385,-2.898190689,-4.587627557,0,1,2,0,11.28508341,7.618570916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V124,-0.556483069,0.788327983,-0.621605754,-1.768501261,NA,NA,NA,NA,NA,NA,-1.872955476,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V126,-1.877185803,2.317398701,-1.581211399,-2.560849689,0,1,2,0,7.428106344,7.649767911,NA,NA,NA,3,3.096357679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
