"","V2","V258","V81","V82","V83"
"1",12,1,1,2,2
"2",12,1,1,1,2
"3",12,1,1,2,2
"4",12,1,1,2,2
"5",12,1,2,2,2
"6",12,1,1,2,1
"7",12,1,1,1,2
"8",12,1,2,1,2
"9",12,1,2,1,1
"10",12,1,1,1,2
"11",12,1,2,2,2
"12",12,1,1,2,2
"13",12,1,1,2,2
"14",12,1,1,2,2
"15",12,1,1,2,2
"16",12,1,1,1,2
"17",12,1,1,2,2
"18",12,1,1,2,2
"19",12,1,2,2,2
"20",12,1,1,1,2
"21",12,1,2,2,2
"22",12,1,2,2,2
"23",12,1,2,2,2
"24",12,1,2,2,2
"25",12,1,2,2,2
"26",12,1,2,2,2
"27",12,1,1,2,2
"28",12,1,1,2,2
"29",12,1,2,2,2
"30",12,1,1,2,2
"31",12,1,2,2,2
"32",12,1,2,2,2
"33",12,1,2,2,2
"34",12,1,1,1,2
"35",12,1,2,2,2
"36",12,1,2,2,2
"37",12,1,2,2,2
"38",12,1,2,2,2
"39",12,1,2,2,2
"40",12,1,2,2,2
"41",12,1,-2,-2,-2
"42",12,1,1,2,2
"43",12,1,3,2,2
"44",12,1,1,-2,2
"45",12,1,2,2,1
"46",12,1,2,2,2
"47",12,1,2,2,2
"48",12,1,-2,2,2
"49",12,1,1,2,2
"50",12,1,1,2,2
"51",12,1,1,2,2
"52",12,1,-2,2,2
"53",12,1,2,2,2
"54",12,1,1,2,2
"55",12,1,1,2,2
"56",12,1,2,2,-2
"57",12,1,2,2,2
"58",12,1,2,2,2
"59",12,1,2,2,2
"60",12,1,-2,1,1
"61",12,1,1,1,2
"62",12,1,-2,2,2
"63",12,1,-2,2,2
"64",12,1,2,2,2
"65",12,1,1,2,2
"66",12,1,1,2,2
"67",12,1,1,2,2
"68",12,1,1,2,2
"69",12,1,1,2,2
"70",12,1,1,2,2
"71",12,1,1,2,2
"72",12,1,-2,2,2
"73",12,1,2,2,2
"74",12,1,-2,2,2
"75",12,1,2,2,2
"76",12,1,1,2,2
"77",12,1,1,2,2
"78",12,1,1,2,2
"79",12,1,-2,-2,2
"80",12,1,1,2,2
"81",12,1,2,1,2
"82",12,1,1,2,2
"83",12,1,-2,2,2
"84",12,1,1,2,2
"85",12,1,1,2,2
"86",12,1,1,2,2
"87",12,1,2,2,2
"88",12,1,1,2,2
