"","V2","V258","V102","V49","V54","V51","V52","V50","V48","V47","V53"
"1",12,1,2,1,1,1,1,1,1,1,1
"2",12,1,1,2,2,1,2,2,1,1,3
"3",12,1,1,1,1,1,1,1,3,2,1
"4",12,1,1,1,2,2,2,2,1,1,2
"5",12,1,2,1,2,1,3,2,1,1,2
"6",12,1,1,1,3,4,2,2,1,1,3
"7",12,1,2,1,1,1,1,1,2,2,1
"8",12,1,1,1,2,2,2,2,1,1,3
"9",12,1,2,1,1,1,1,1,1,1,1
"10",12,1,2,1,2,3,2,2,2,2,2
"11",12,1,1,1,1,1,1,1,2,2,1
"12",12,1,1,1,3,3,2,2,1,2,2
"13",12,1,1,2,2,2,3,2,2,2,2
"14",12,1,2,2,2,1,2,1,1,1,2
"15",12,1,1,2,2,2,2,1,1,2,3
"16",12,1,1,2,3,2,2,3,1,1,3
"17",12,1,1,1,2,2,2,1,1,1,2
"18",12,1,2,1,1,1,1,1,1,2,1
"19",12,1,1,1,2,2,3,2,1,1,2
"20",12,1,1,2,3,3,2,2,2,2,2
"21",12,1,1,1,4,4,4,3,-2,-2,1
"22",12,1,1,1,1,1,1,1,1,1,1
"23",12,1,1,1,3,1,3,3,1,1,1
"24",12,1,1,1,4,4,4,4,2,3,-2
"25",12,1,1,1,1,4,4,4,2,3,4
"26",12,1,1,1,1,2,4,1,2,2,1
"27",12,1,1,1,4,4,4,4,1,1,4
"28",12,1,1,1,1,1,4,4,1,3,4
"29",12,1,1,1,1,1,4,2,1,3,1
"30",12,1,1,1,1,1,4,1,3,1,1
"31",12,1,1,1,1,1,1,1,1,2,1
"32",12,1,1,1,2,1,1,1,1,2,2
"33",12,1,1,1,2,1,2,1,1,1,2
"34",12,1,1,1,2,2,2,2,1,1,2
"35",12,1,1,1,2,1,2,1,2,2,2
"36",12,1,1,2,2,2,2,2,2,2,2
"37",12,1,1,1,2,2,2,2,1,1,2
"38",12,1,1,1,1,1,1,1,1,1,1
"39",12,1,1,1,1,1,1,1,1,1,1
"40",12,1,4,1,1,1,1,1,1,1,1
"41",12,1,1,1,2,1,3,2,3,3,3
"42",12,1,1,2,3,2,2,3,2,1,3
"43",12,1,1,1,3,1,4,2,1,3,2
"44",12,1,1,1,2,1,3,3,3,2,3
"45",12,1,1,1,1,1,1,4,3,3,1
"46",12,1,1,1,3,2,4,4,1,2,2
"47",12,1,2,2,3,1,4,1,1,2,4
"48",12,1,1,1,2,1,4,2,1,3,3
"49",12,1,1,1,1,1,3,1,2,1,2
"50",12,1,1,1,2,2,2,2,2,3,3
"51",12,1,1,1,4,3,4,2,1,1,3
"52",12,1,2,1,-2,-2,4,1,3,3,4
"53",12,1,1,1,3,1,2,1,2,1,2
"54",12,1,1,2,1,1,4,2,2,2,3
"55",12,1,1,1,1,1,2,1,2,1,2
"56",12,1,1,1,-2,1,3,1,3,1,1
"57",12,1,1,1,1,1,3,2,2,2,1
"58",12,1,1,1,1,1,3,2,3,2,2
"59",12,1,1,1,3,2,3,2,1,2,4
"60",12,1,3,1,4,1,4,3,2,1,4
"61",12,1,1,1,2,2,3,-2,1,1,4
"62",12,1,1,1,2,3,3,3,1,1,3
"63",12,1,1,1,2,3,4,2,1,3,3
"64",12,1,1,2,2,1,3,-2,1,3,3
"65",12,1,1,1,3,3,3,3,1,3,3
"66",12,1,1,1,2,1,4,1,1,2,-2
"67",12,1,2,1,1,1,3,1,1,1,1
"68",12,1,1,1,3,4,4,2,2,3,4
"69",12,1,2,1,1,1,3,1,1,3,4
"70",12,1,1,1,1,1,-2,1,1,1,1
"71",12,1,1,2,3,3,3,2,1,2,3
"72",12,1,1,1,3,4,3,2,1,3,4
"73",12,1,1,1,1,1,1,1,-2,1,1
"74",12,1,1,1,3,4,3,2,1,3,4
"75",12,1,1,1,1,1,1,1,3,1,1
"76",12,1,1,2,3,3,3,2,1,2,3
"77",12,1,1,2,3,3,3,2,1,2,3
"78",12,1,1,1,2,1,1,2,2,2,2
"79",12,1,1,1,-2,-2,-2,-2,-2,-2,-2
"80",12,1,1,1,2,1,1,2,2,2,2
"81",12,1,1,2,3,3,3,2,1,2,3
"82",12,1,1,2,3,3,3,2,1,2,3
"83",12,1,1,1,3,4,3,2,1,3,4
"84",12,1,1,1,4,4,4,4,1,2,4
"85",12,1,1,2,3,3,3,2,1,2,3
"86",12,1,1,2,3,3,3,3,1,2,3
"87",12,1,1,1,1,1,1,1,3,1,1
"88",12,1,1,2,3,3,3,2,1,2,3
"89",12,1,1,1,-2,-2,-2,-2,-2,-2,-2
"90",12,1,1,1,2,1,1,2,2,2,2
"91",12,1,1,1,3,4,3,2,1,3,4
"92",12,1,1,1,3,4,3,2,1,3,4
"93",12,1,1,1,1,1,1,1,-2,1,1
"94",12,1,1,1,3,4,3,2,1,3,4
"95",12,1,1,1,1,1,1,1,3,1,1
"96",12,1,1,2,3,3,3,3,1,2,3
"97",12,1,1,2,3,3,3,3,1,2,3
"98",12,1,1,1,2,1,1,2,2,2,2
"99",12,1,1,1,-2,-2,-2,-2,-2,-2,-2
"100",12,1,1,1,2,1,1,2,2,2,2
"101",12,1,1,2,3,3,3,2,1,2,3
"102",12,1,1,2,3,3,3,2,1,2,3
"103",12,1,1,2,3,3,3,2,1,2,3
"104",12,1,1,2,1,1,1,2,1,2,1
"105",12,1,1,1,1,1,1,1,-2,1,1
"106",12,1,1,1,1,1,1,1,-2,1,1
"107",12,1,1,1,3,4,3,2,1,3,4
"108",12,1,1,1,3,4,3,2,1,3,4
"109",12,1,1,1,1,1,1,1,-2,1,1
"110",12,1,1,1,3,4,3,2,1,3,4
"111",12,1,1,2,3,3,3,2,1,2,3
"112",12,1,1,1,1,1,1,1,-2,1,1
"113",12,1,1,1,3,4,3,2,1,3,4
"114",12,1,1,2,3,3,3,2,1,2,3
"115",12,1,1,1,-2,-2,-2,-2,-2,-2,-2
"116",12,1,1,1,1,1,1,1,3,1,1
"117",12,1,1,1,-2,-2,-2,-2,-2,-2,-2
"118",12,1,1,1,2,1,1,2,2,2,2
"119",12,1,1,2,3,3,3,2,1,2,3
"120",12,1,1,2,3,3,3,3,1,2,3
"121",12,1,1,2,3,3,3,2,1,2,3
"122",12,1,1,2,3,3,3,2,1,2,3
"123",12,1,1,1,3,4,3,2,1,3,4
"124",12,1,1,1,-2,-2,-2,-2,1,2,-2
"125",12,1,1,2,3,3,3,2,1,2,3
"126",12,1,1,1,1,1,1,1,-2,1,1
"127",12,1,1,2,3,3,3,3,1,2,3
"128",12,1,1,1,1,1,1,1,3,1,1
"129",12,1,1,1,-2,-2,-2,-2,-2,-2,-2
"130",12,1,1,1,-2,-2,-2,-2,-2,-2,-2
"131",12,1,1,-2,-2,1,-2,-2,3,3,1
"132",12,1,1,2,-2,1,3,2,3,1,2
"133",12,1,1,2,2,1,3,1,-2,-2,2
"134",12,1,1,1,1,1,3,-2,3,1,1
"135",12,1,1,2,2,2,3,2,3,3,2
"136",12,1,1,2,2,1,-2,2,3,-2,2
"137",12,1,2,2,2,1,3,1,3,1,1
"138",12,1,1,2,2,1,3,2,3,1,2
"139",12,1,1,-2,2,1,2,1,3,-2,1
"140",12,1,1,-2,2,1,3,1,3,1,-2
"141",12,1,1,2,-2,1,3,2,3,3,2
"142",12,1,1,1,1,1,3,-2,-2,-2,1
"143",12,1,1,1,3,2,4,3,2,3,4
"144",12,1,1,2,3,3,3,2,1,3,3
"145",12,1,1,2,2,1,3,1,-2,-2,2
"146",12,1,1,2,2,2,3,2,3,3,2
"147",12,1,1,-2,2,1,3,2,2,2,-2
"148",12,1,2,2,2,1,3,1,3,1,1
"149",12,1,1,-2,2,2,3,2,3,3,2
"150",12,1,2,-2,3,1,4,2,3,2,3
"151",12,1,1,1,2,1,2,2,1,1,3
"152",12,1,1,1,1,1,1,1,1,2,1
"153",12,1,2,1,2,2,2,2,1,1,2
"154",12,1,1,1,1,1,1,2,1,1,1
"155",12,1,1,1,3,1,3,1,1,1,1
"156",12,1,1,-2,3,3,3,3,3,3,3
"157",12,1,1,-2,2,1,4,2,3,1,2
