"","F1","F2","F3","F4"
"V4",0.0982268644806415,0.0592462947253988,-0.0001504934576445,0.182255583087525
"V5",0.022924355411898,-0.0190549459145749,-0.0889654891630624,0.0445469308798591
"V6",0.0210126791514745,-0.00880963235158663,-0.0704925134657575,-0.0270689134468939
"V7",0.0449630381427161,-0.034389993952682,-0.0719335421540052,-0.114309563194437
"V8",0.0134204333127291,0.00356856894444783,-0.0147773518256676,-0.0559449415778517
"V9",0.0596987043281956,-0.0243020361096841,0.0972804929803659,-0.0571305577592732
"V10",0.0549430035761754,-0.0732361719006438,-0.0821984423428631,0.0930982567031726
"V11",-0.0251608336688491,-0.0335269372136123,-0.0435653437621511,-0.0467573556885754
"V12",-0.00861754699727685,-0.0526762386410665,-0.166695821005693,-0.656556487947382
"V13",0.0885520022597977,0.0820469543927187,0.054076121512077,-0.668818050794963
"V14",-0.0337080015838883,-0.0378695966195709,-0.122559582848884,-0.568280642353357
"V15",-0.0338801003241032,0.00462032637756116,-0.103404443540315,-0.787102539129186
"V16",-0.0695822690106643,0.00978538210785834,-0.0716809869505153,-0.633350546609208
"V17",0.031067575130863,-0.00399821940436751,-0.0265304299202028,-0.704572542702673
"V18",-0.0153872527849492,0.0324474781629573,-0.0860210049868991,-0.742245643705047
"V19",0.127132413718642,-0.162028559093031,0.209120878363776,-0.519499113051656
"V20",-0.00785411103930392,-0.0133721385868985,-0.0157800982334408,-0.735075503740235
"V21",0.0437995125412795,-0.0318403663836899,0.118887630843188,-0.667584065009879
"V22",-0.0502628368168362,0.0354819982532212,-0.0787060949848341,-0.806624378252132
"V25",0.00176631878748027,0.0231713982290141,-0.0561547290256178,-0.0694318652035599
"V26",0.0487499786541331,0.0000561351348275958,0.0720000731395771,-0.00198708705372386
"V27",0.0740409849730563,-0.0532067141308498,0.0567401108738834,0.0643199657576304
"V28",0.0623823036971206,-0.0714609496483359,0.0564260313653397,0.106778817000625
"V29",0.033298880953232,-0.0793951630336383,0.00644642841683815,0.0948568875639044
"V30",0.0669175274444693,-0.127997113096927,0.0373440507812846,0.186099149416951
"V31",0.0834786769052829,-0.0564630534580672,0.027233505544752,0.0798814819835432
"V32",0.122599945563027,-0.0575648058024622,0.0422793494740935,0.109367307653047
"V33",0.104839502691525,-0.0696044632242783,0.0394266012919669,0.195522694466121
"V34",0.0563558188237397,-0.0391010088930769,-0.038240798686566,0.0500669009189054
"V35",0.152049917518964,-0.104770521917505,0.106686992903109,0.26185043422357
"V37",0.0256018524633137,-0.0573847373837617,0.0875239266368665,-0.753033721915123
"V42",0.210222666780384,0.109762053857369,-0.0881050964206046,-0.440909405198093
"V39",0.069993732393271,-0.0976304361776438,0.0551257220644363,-0.675194689200584
"V38",0.324572844142392,0.0744486826677275,-0.0663063194913752,-0.42269818605436
"V36",0.189910048134644,0.0732903222524793,-0.0455212780973248,-0.337106149697278
"V40",0.311218559732331,0.080434545889682,0.0478242031935283,-0.382074319276149
"V41",0.0379594871441336,-0.0848047716010106,0.118285455615602,-0.722287482917664
"V43",0.124978688496715,-0.125799586680545,0.165773472452158,-0.612284284142115
"V44",0.00905787788517964,-0.023680676425569,0.0793567254914546,-0.790144906803348
"V24",0.0442859014031025,-0.0920964655111036,-0.100372904473016,-0.153650230656995
"V70",0.0161008729710481,-0.00695358545307006,-0.0330073961751335,-0.0030286892377409
"V71",0.0448085892977578,-0.0290495513666118,-0.0149009483177309,-0.0595036222014982
"V72",0.0408798777937253,-0.0289854576923425,-0.0208774416109582,0.0354309393354755
"V73",0.0196036147071807,-0.026617846156398,-0.0281855225032969,-0.0264323942028655
