"","PC1","PC2","PC3","PC4","PC5"
"V9_1_Ref",-0.245,-0.249,0.15,0.092,0.091
"V9_3",0.101,0.096,-0.06,-0.051,-0.004
"V9_4",0.102,0.052,-0.039,-0.093,-0.017
"V19_1_Ref",-0.181,-0.234,0.174,0.059,0.098
"V26_0",-0.069,0.03,-0.043,-0.176,-0.216
"V26_1_Ref",0.013,-0.002,0.002,0.105,0.127
"V26_2",0.054,-0.022,0.042,0.071,0.081
"V27_0",-0.039,0.022,-0.003,-0.169,-0.168
"V27_1_Ref",0.013,-0.005,-0.014,0.096,0.108
"V27_2",0.024,-0.009,0.02,0.073,0.051
"V30_0",-0.014,0.017,-0.009,-0.13,-0.136
"V30_1_Ref",0.009,-0.01,0.002,0.084,0.092
"V31_0",-0.031,0.031,-0.018,-0.117,-0.137
"V31_1_Ref",0.016,-0.012,0.003,0.065,0.091
"V32_0",-0.038,0.045,-0.037,-0.128,-0.152
"V32_1_Ref",0.019,-0.016,0.01,0.078,0.103
"V33_0",-0.014,0.013,0.013,-0.12,-0.121
"V33_1_Ref",0.009,-0.006,-0.006,0.082,0.09
"V34_0",0.001,-0.008,-0.006,-0.171,-0.135
"V34_1_Ref",-0.002,0.004,-0.002,0.09,0.088
"V37_1_Ref",-0.075,0.007,-0.051,-0.101,0.02
"V40_1_Ref",-0.199,0.043,-0.184,-0.071,0.071
"V41_1_Ref",-0.1,-0.034,-0.015,-0.092,-0.012
"V43_1_Ref",-0.18,-0.184,-0.108,-0.164,0.044
"V44_1_Ref",-0.057,-0.021,-0.014,-0.038,0.061
"V75_1_Ref",-0.077,-0.096,0.031,0.038,0.012
"V76_1_Ref",-0.036,-0.043,-0.002,0.046,0.021
"V45_1_Ref",-0.18,-0.06,-0.115,-0.085,0.013
"V49_1_Ref",-0.196,-0.126,-0.021,0.095,-0.015
"V51_1_Ref",-0.13,-0.121,-0.098,-0.052,-0.036
"V51_2",-0.05,0.069,-0.088,-0.026,0.064
"V51_3",0.098,0.057,0.087,0.053,0.067
"V51_4",0.069,0.001,0.093,0.04,-0.072
"V52_1_Ref",-0.05,-0.038,-0.06,0.025,-0.015
"V53_1_Ref",-0.104,-0.083,-0.09,-0.028,-0.037
"V53_2",-0.059,0.047,-0.078,-0.041,0.042
"V53_3",0.083,0.058,0.08,0.052,0.053
"V53_4",0.07,-0.019,0.09,0.036,-0.039
"V85_3",-0.183,0.217,0.079,-0.18,0.088
"V86_3",-0.119,0.262,0.227,-0.132,0.01
"V87_2",0.076,-0.04,0.138,0.056,0.091
"V87_3",-0.113,0.226,0.107,-0.171,0.091
"V88_2",0.071,-0.065,0.103,0.034,0.065
"V88_3",-0.11,0.264,0.169,-0.175,0.112
"V89_3",-0.146,0.292,0.13,-0.174,0.064
"V110_1_Ref",-0.024,-0.009,-0.096,0.087,-0.017
"V110_2",0.014,0.135,-0.096,0.038,0.064
"V110_3",0.041,-0.056,0.088,-0.06,0.055
"V110_4",-0.022,-0.043,0.106,-0.041,-0.087
"V111_1_Ref",-0.035,-0.007,-0.117,0.097,-0.013
"V111_2",0.014,0.128,-0.102,0.007,0.066
"V111_3",0.044,-0.072,0.121,-0.059,0.029
"V111_4",-0.021,-0.033,0.101,-0.029,-0.079
"V115_1_Ref",-0.034,0.01,-0.201,0.032,-0.059
"V115_3",0.036,-0.04,0.139,0.002,0.041
"V115_4",-0.021,-0.054,0.15,-0.05,-0.093
"V116_1_Ref",-0.014,0.006,-0.127,0.05,-0.024
"V116_2",0.001,0.123,-0.147,0.069,0.089
"V116_4",-0.045,-0.089,0.217,-0.082,-0.14
"V117_1_Ref",-0.018,0.01,-0.175,0.054,-0.037
"V117_2",0.024,0.112,-0.134,0.076,0.116
"V117_3",0.047,-0.012,0.115,-0.021,0.072
"V117_4",-0.045,-0.067,0.202,-0.077,-0.122
"V122_1_Ref",-0.018,0,-0.027,0.122,-0.018
"V122_2",0.067,0.113,-0.048,0.024,0.08
"V122_3",0,-0.032,0.048,-0.034,0.042
"V122_4",-0.03,-0.033,0.032,-0.046,-0.027
"V123_1_Ref",-0.023,0.013,-0.052,0.146,-0.032
"V123_2",0.056,0.11,-0.025,0.053,0.1
"V123_3",0.005,-0.039,0.04,-0.043,0.053
"V123_4",-0.04,-0.049,0.035,-0.066,-0.027
"V124_4",-0.027,-0.024,0.025,-0.046,-0.037
"V222_1_Ref",0.071,-0.047,0.048,-0.047,0.053
"V222_2",0.019,0.008,0.008,0.004,0.034
