Country,Year,LCOE
United States,2014,1803
United States,2013,1901
United States,2012,2054
United States,2011,2244
United States,2010,2264
Sweden,2014,2032
Sweden,2013,1988
Sweden,2012,2207
Sweden,2011,2029
Sweden,2010,2205
India,2014,1384
India,2013,1416
India,2012,1374
India,2011,1327
India,2010,1316
Spain,2014,1660
Spain,2013,1971
Spain,2012,1980
Spain,2011,2257
Spain,2010,2320
Germany,2014,1905
Germany,2013,1930
Germany,2012,1954
Germany,2011,2151
Germany,2010,2151
China,2014,1288
China,2013,1267
China,2012,1322
China,2011,1366
China,2010,1404
Brazil,2014,2116
Brazil,2013,2497
Brazil,2012,2484
Brazil,2011,2440
Brazil,2010,2458
