Variable,F1,F2,F3,F4
V161,0.457313866,-0.007048061,0.011303926,0.544975153
V162,0.04633117,-0.455890308,-0.44800863,0.337570786
V163,0.193198679,-0.229202314,-0.420781524,0.510823464
V5,-0.680815469,0.110561522,-0.064562084,-0.047392519
V6,-0.183553864,-0.02183121,-0.418334585,-0.825444098
V7,0.172703452,0.327510518,-0.261864772,0.009033496
V8,-0.094100914,-0.253316259,0.494143822,-0.68164887
V9,0.153326025,-0.417770466,0.502521819,-0.681312966
V10,-0.053287551,0.225542735,-0.100158358,-0.951634726
V11,0.288162361,0.174070795,-0.207376965,-0.794987164
V70,0.10901329,-0.407321763,-0.017943845,-0.735988945
V71,0.482774126,0.242169356,0.512621411,-0.179938172
V72,-0.015543202,-0.440725676,0.405625026,-0.592146503
V73,0.347393245,-0.410941167,0.009691177,-0.297342775
V75,0.01278857,-0.240498523,0.556651634,-0.684675672
V76,0.354714591,0.180603984,0.169223346,-0.450083012
V77,-0.417421159,-0.032536959,0.518552043,-0.637555677
V78,-0.177546357,-0.329491113,0.146850926,-0.753206961
V79,-0.406857733,-0.204213291,0.664615128,-0.459644798
V74,-0.174706725,-0.425232445,0.321239868,-0.772390346
V165,0.197178449,-0.496281799,-0.539556961,-0.203069619
V166,0.837451646,0.021662638,-0.18798098,-0.250248817
V167,0.81518267,0.022863245,-0.199817664,0.5078604
V168,0.28433715,0.060325315,0.709245612,-0.395422434
V169,0.182951948,-0.333397233,0.391667364,-0.77069213
V45,0.332925124,0.148177612,0.894219154,0.006859459
V46,0.653795735,-0.311598974,0.327266178,-0.226496223
V49,-0.063096886,0.325278153,0.616881279,-0.684464605
V54,-0.326688972,0.124426621,0.356677466,0.202052743
V51,-0.038988654,0.22344515,0.90308263,-0.118894634
V52,0.807004916,-0.041754175,0.483342717,0.109292904
V50,0.272909215,-0.435277645,0.640182211,-0.027049541
V48,-0.03903203,-0.197461426,-0.04673509,-0.241703052
V47,0.247912247,0.330216551,0.714331263,-0.360136304
V53,-0.137793841,0.085063139,0.971922551,-0.127475997
V67,0.33297377,0.305695585,-0.471092984,0.150924633
V68,-0.130578799,-0.558303824,0.807536664,-0.02148624
V69,-0.266914584,-0.332293687,0.291222604,-0.506958551
V84,0.224885277,0.092153743,-0.330401051,-0.022751426
V85,0.03069522,0.096159947,-0.950843095,0.059429955
V86,-0.273063223,0.568869499,-0.633496117,0.107640417
V87,-0.108354267,-0.395773977,-0.645088849,-0.074843041
V88,-0.678571733,0.254641843,-0.547961988,-0.083755646
V89,-0.700605906,0.212266009,-0.121203371,0.281285764
V108,0.102785449,0.367561256,0.325959601,-0.532727686
V109,-0.03738702,0.708649118,0.315154788,0.021896196
V110,0.538616833,0.721403168,-0.048185684,0.112567694
V111,0.116548439,0.863113252,-0.084639939,-0.011384762
V112,-0.27209065,0.905708823,-0.115291107,0.06998387
V113,-0.46023749,0.576890838,0.222887227,0.162303005
V114,-0.174722646,0.78371919,0.080438227,0.101535902
V115,-0.12427778,0.894912298,0.084517811,-0.045624153
V116,0.030189968,0.953156701,-0.060129982,0.139548708
V117,-0.204284771,0.946630841,0.045641165,0.051621404
V118,-0.110416081,0.935165826,0.084505311,-0.018234549
V119,-0.526742074,0.813789575,-0.040588017,-0.213799582
V120,0.312092352,0.851749255,-0.092216479,-0.140912167
V121,0.132222133,0.768941577,0.145890441,-0.124330251
V122,-0.250910288,0.723055687,-0.301552403,-0.317971614
V123,-0.140370047,0.88015422,-0.136868709,-0.338316635
V124,-0.180961183,0.708533611,0.029517834,-0.264207508
V126,-0.216744558,0.887489978,-0.153630288,-0.053291162
V127,0.400508461,0.065151291,0.056572962,-0.002342516
V128,0.420938735,-0.248440642,0.27801832,0.088945761
V129,0.5929675,-0.091564309,0.539134741,-0.207338968
V130,-0.713918851,0.104760095,0.237383151,-0.457456282
V142,0.175988147,0.834596337,-0.212122496,0.084304925
V225,0.033654949,0.276645945,0.486373712,-0.459248372
V226,-0.43147191,0.049513633,-0.623377771,-0.200775095
V227,-0.364417843,-0.072744047,-0.608639388,-0.186868784
V217,0.053596143,0.198310986,-0.439619261,0.121738417
V218,-0.075406888,0.246679375,-0.410806475,0.231705428
V223,-0.082903508,-0.074685025,-0.333053725,0.292226695
V224,-0.323010296,-0.185408093,0.146046545,-0.159292619
V219,-0.693105368,-0.220991913,-0.57571774,-0.095812283
V220,-0.048574275,0.004184304,-0.317248135,-0.110858136
V221,0.149282709,0.023281498,0.050655705,-0.088591121
V222,0.016189575,0.12125914,-0.539785141,0.332837689
V143,-0.374815291,0.080769946,0.318818247,-0.756666398
V145,0.417577725,-0.23611106,0.272141996,-0.41319519
V146,0.333822419,-0.399611444,0.369312364,-0.510773368
V153,0.253984243,-0.39460858,0.669877516,-0.527305505
V154,0.001175807,-0.06767247,0.892058126,-0.307364296
V155,0.257381837,0.157770944,-0.473901314,-0.490739465
V156,-0.558352884,0.161389401,-0.547590279,-0.475008219
V211,-0.267458639,0.144332131,0.4714574,-0.682495136
V103,-0.320447789,0.729866503,0.328765621,0.313768947
V104,-0.406254828,0.741541888,0.307473372,0.289884844
V105,-0.598467096,0.549449446,-0.202636662,0.110124906
V106,0.061169198,0.220981067,-0.822528892,0.010249327
V107,-0.593266566,0.25895979,-0.406230107,0.211985787
V212,0.356405734,0.433897007,-0.142775412,-0.617145393
V213,-0.366773143,0.102350465,0.163135894,-0.696704693
V214,-0.558334322,0.422847194,0.474469949,-0.464535122
V216,0.023788168,-0.456027154,-0.016258169,-0.368950971
V170,-0.790046036,0.056289576,0.293212526,-0.138645766
V171,0.633811887,-0.377404846,-0.053893754,-0.348154251
V172,0.594501053,-0.208863208,-0.380312832,-0.093070249
V173,0.913506608,-0.207353393,0.217910691,0.07707238
V174,0.933956331,-0.166758298,0.106568188,0.14226247
V175,0.562903791,-0.394756449,-0.18870511,-0.306662212
V181,0.58512319,-0.153218367,0.379822635,-0.259090814
V182,0.538759576,-0.250186709,0.466706151,-0.351078666
V183,0.394334517,-0.189317784,0.562412418,-0.266260161
V184,0.288468574,-0.241926768,0.516915152,-0.229841372
V185,0.378451972,-0.246482916,0.615478032,-0.393451316
V186,0.26727281,-0.151318908,0.161487546,-0.286912361
V188,0.747130872,-0.024736721,0.213502963,-0.258482131
V189,0.700205087,-0.44363681,-0.277201667,-0.314560713
V190,0.513740914,0.107168949,0.591250022,-0.028607784
V191,0.293313826,0.151272717,0.437662067,0.004897239
V23,0.115374914,-0.002964319,0.5467412,0.386298313
V56,-0.024112481,-0.476138604,0.13658933,-0.119255484
V55,0.223559243,-0.049450581,0.367988663,0.68881351
V157,-0.210957188,0.229542445,0.12723468,0.181990607
V158,0.278323974,-0.472868575,-0.110514132,0.174647253
V159,-0.090614048,-0.17076177,-0.248952516,0.324125266
V160,0.128033336,-0.025310661,0.016017172,0.054433505
V164,-0.122638608,-0.049231179,0.060098105,0.064602344
V59,-0.19730534,0.13689588,0.545179158,0.120883208
V95,-0.340337305,-0.112906259,-0.404322684,0.251546878
V96,-0.016066092,0.170302807,-0.188813287,0.247589597
V97,-0.036895565,0.139661563,-0.271289804,0.004165047
V98,-0.121204141,-0.199729672,0.4791951,0.120071215
V99,-0.406220784,-0.160016876,0.456004132,-0.294522783
V100,-0.159774306,-0.066960477,0.263997105,-0.321921469
