"","PC1","PC2","PC3","PC4","PC5"
"V4_1",-0.017,-0.003,0.001,0.001,0.02
"V4_2",0.014,0.002,-0.001,-0.006,-0.015
"V4_3",0.002,0,0,0.001,-0.001
"V4_4",0,0,0,0.002,-0.002
"V5_1",0.01,0.022,-0.008,0.066,0.046
"V5_2",0.006,0.011,0.024,-0.025,-0.017
"V5_3",-0.012,-0.031,-0.01,-0.042,-0.022
"V5_4",-0.005,-0.003,-0.005,-0.002,-0.006
"V6_1",0.021,-0.064,-0.017,-0.01,0.029
"V6_2",0.025,0.03,0.015,-0.002,-0.009
"V6_3",-0.032,0.022,0.007,0.001,-0.016
"V6_4",-0.015,0.008,-0.002,0.007,-0.002
"V7_1",-0.019,-0.018,0.019,0.03,0
"V7_2",0.015,0.009,0.041,0.043,0.018
"V7_3",0.028,0.012,0.012,-0.039,-0.001
"V7_4",-0.025,-0.008,-0.069,-0.043,-0.01
"V8_1",-0.084,-0.061,0,-0.019,-0.005
"V8_2",0.062,0.025,0.002,0.007,-0.003
"V8_3",0.011,0.022,0.007,0.007,0.001
"V8_4",0.005,0.01,-0.005,-0.001,0.007
"V9_1",-0.17,-0.073,-0.045,0.11,-0.013
"V9_2",0.021,-0.004,0.04,-0.082,0.018
"V9_3",0.071,0.034,0.02,-0.037,-0.003
"V9_4",0.072,0.037,-0.016,0.006,0.004
"V10_1",-0.019,-0.104,0.048,-0.004,0.089
"V10_2",0.034,0.074,-0.026,0.019,-0.052
"V10_3",-0.011,0.02,-0.016,-0.016,-0.03
"V10_4",-0.006,0.005,-0.005,0.003,-0.004
"V11_1",-0.023,-0.067,0.014,0.089,0.044
"V11_2",0.017,-0.001,0.01,0.016,-0.015
"V11_3",0.007,0.046,-0.011,-0.081,-0.026
"V11_4",-0.001,0.021,-0.013,-0.025,-0.003
"V12_1",0.046,0.028,0.044,0.034,0.037
"V13_1",-0.046,0.077,0.116,-0.059,0.08
"V14_1",0.029,0.056,-0.031,-0.061,-0.01
"V15_1",0.026,-0.024,0.003,0.036,0.003
"V16_1",0.021,-0.024,-0.058,0.001,0.062
"V17_1",0.022,0.058,0.074,-0.032,0.002
"V18_1",0.029,0.021,0.054,0.004,0.05
"V19_1",-0.126,-0.071,-0.057,0.1,-0.045
"V20_1",-0.004,-0.042,-0.012,0.015,-0.025
