"","PC1","PC2","PC3","PC4","PC5"
"V4_2",NA,NA,NA,NA,NA
"V4_3",NA,NA,NA,NA,NA
"V4_4",NA,NA,NA,NA,NA
"V5_2",NA,NA,NA,NA,NA
"V5_3",NA,NA,NA,NA,NA
"V5_4",NA,NA,NA,NA,NA
"V6_2",NA,NA,NA,NA,NA
"V6_3",NA,NA,NA,NA,NA
"V6_4",NA,NA,NA,NA,NA
"V7_2",NA,NA,NA,NA,NA
"V7_3",NA,NA,NA,NA,NA
"V7_4",NA,NA,NA,NA,NA
"V8_2",NA,NA,NA,NA,NA
"V8_3",NA,NA,NA,NA,NA
"V8_4",NA,NA,NA,NA,NA
"V9_2",NA,NA,NA,0.102,NA
"V9_3",NA,NA,NA,NA,NA
"V9_4",NA,NA,NA,NA,NA
"V10_2",NA,NA,NA,NA,NA
"V10_3",NA,NA,NA,NA,NA
"V10_4",NA,NA,NA,NA,NA
"V11_2",NA,NA,NA,NA,NA
"V11_3",NA,NA,NA,0.103,NA
"V11_4",NA,NA,NA,NA,NA
"V12_2",NA,NA,NA,NA,NA
"V13_2",NA,NA,0.103,NA,-0.17
"V14_2",NA,NA,NA,NA,NA
"V15_2",NA,NA,NA,NA,NA
"V16_2",NA,NA,NA,NA,NA
"V17_2",NA,NA,NA,NA,NA
"V18_2",NA,NA,NA,NA,NA
"V19_2",0.153,0.106,NA,0.141,NA
"V20_2",NA,NA,NA,NA,NA
"V21_2",NA,0.132,NA,NA,NA
"V22_2",NA,NA,NA,NA,NA
"V25_0",NA,0.232,0.18,NA,NA
"V25_2",NA,-0.159,-0.132,NA,NA
"V26_0",NA,NA,NA,NA,NA
"V26_2",NA,NA,NA,NA,NA
"V27_0",NA,NA,NA,NA,NA
"V27_2",NA,NA,NA,NA,NA
"V28_0",NA,NA,NA,NA,NA
"V28_2",NA,NA,NA,NA,NA
"V29_0",NA,NA,NA,NA,NA
"V29_2",NA,NA,NA,NA,NA
"V30_0",NA,NA,NA,NA,NA
"V30_2",NA,NA,NA,NA,NA
"V31_0",NA,NA,NA,NA,NA
"V31_2",NA,NA,NA,NA,NA
"V32_0",NA,NA,NA,NA,NA
"V32_2",NA,NA,NA,NA,NA
"V33_0",NA,NA,NA,NA,NA
"V33_2",NA,NA,NA,NA,NA
"V34_0",NA,NA,NA,NA,NA
"V34_2",NA,NA,NA,NA,NA
"V35_0",NA,NA,NA,NA,NA
"V35_2",NA,NA,NA,NA,NA
"V37_2",NA,NA,NA,NA,NA
"V42_2",NA,-0.127,NA,NA,NA
"V39_2",NA,NA,NA,NA,NA
"V38_2",0.108,-0.25,NA,NA,NA
"V36_2",NA,NA,NA,NA,NA
"V40_2",0.153,-0.15,NA,NA,NA
"V41_2",NA,NA,NA,NA,NA
"V43_2",0.153,-0.107,NA,0.162,NA
"V44_2",NA,NA,NA,NA,NA
"V24_2",NA,-0.1,NA,NA,NA
"V70_2",NA,NA,NA,NA,NA
"V70_3",NA,NA,NA,NA,NA
"V70_4",NA,NA,NA,NA,NA
"V70_5",NA,NA,NA,NA,NA
"V70_6",NA,NA,NA,NA,NA
"V71_2",NA,NA,NA,NA,NA
"V71_3",NA,NA,NA,NA,NA
"V71_4",NA,NA,NA,NA,NA
"V71_5",NA,NA,NA,NA,NA
"V71_6",NA,NA,NA,NA,NA
"V72_2",NA,NA,NA,NA,NA
"V72_3",NA,NA,NA,NA,NA
"V72_4",NA,NA,NA,NA,NA
"V72_5",NA,NA,NA,NA,NA
"V72_6",NA,NA,NA,NA,NA
"V73_2",NA,NA,NA,NA,NA
"V73_3",NA,NA,NA,NA,NA
"V73_4",NA,NA,NA,NA,NA
"V73_5",NA,NA,NA,NA,NA
"V73_6",NA,NA,NA,NA,NA
"V75_2",NA,NA,NA,NA,NA
"V75_3",NA,NA,NA,NA,NA
"V75_4",NA,NA,NA,NA,NA
"V75_5",NA,NA,NA,NA,NA
"V75_6",NA,NA,NA,NA,NA
"V76_2",NA,NA,NA,NA,NA
"V76_3",NA,NA,NA,NA,NA
"V76_4",NA,NA,NA,NA,NA
"V76_5",NA,NA,NA,NA,NA
"V76_6",NA,NA,NA,NA,NA
"V77_2",NA,NA,NA,NA,NA
"V77_3",NA,NA,NA,NA,NA
