"","PC1","PC2","PC3","PC4","PC5"
"V10_1_Ref",-0.026,0.136,-0.011,0.053,0.004
"V100_Very Low_Ref",-0.07,0.015,0.09,0.018,0
"V102_1_Ref",-0.038,-0.063,-0.035,-0.015,0.001
"V105_4",-0.068,0.035,-0.041,-0.034,-0.043
"V106_2",0.048,0.071,-0.007,0.079,0.061
"V106_4",-0.076,-0.054,0.029,-0.038,-0.076
"V107_2",0.058,0.02,-0.038,0.091,0.015
"V107_4",-0.084,0.008,0.041,-0.056,-0.044
"V108_1_Ref",-0.126,0.087,0.011,0.065,0.064
"V109_1_Ref",-0.06,-0.047,-0.04,0.137,0.025
"V116_4",-0.036,0.018,0.044,-0.051,-0.129
"V12_1_Ref",0.056,-0.041,-0.008,0.038,0.047
"V127_4",0.009,0.054,0.127,0.103,-0.013
"V129_4",0.096,0.008,0.007,0.099,-0.082
"V13_1_Ref",-0.058,-0.051,-0.144,0.061,0.16
"V130_1_Ref",-0.031,0.039,0.102,0.12,-0.039
"V132_Very Low_Ref",0.099,0.008,-0.027,0.059,-0.094
"V135_Very Low_Ref",0.085,0.032,0.014,0.051,-0.091
"V142_2",0.045,-0.037,0.002,-0.004,0.055
"V143_1_Ref",-0.076,0.061,-0.013,0.082,-0.04
"V145_1_Ref",-0.068,0.047,0.129,-0.02,0
"V145_7",0.082,-0.139,-0.001,-0.011,-0.084
"V146_1_Ref",-0.149,0.019,0.218,0.064,0.065
"V146_8",0.09,-0.134,-0.025,0.016,-0.037
"V147_1_Ref",-0.124,0.145,0.04,0.054,-0.036
"V147_2",0.073,-0.089,-0.055,-0.001,-0.004
"V148_1_Ref",-0.079,0.218,-0.167,0.144,0.167
"V149_1_Ref",-0.131,0.11,-0.073,0.197,0.268
"V150_1_Ref",-0.067,-0.063,0.096,0.053,0.085
"V151_1_Ref",-0.081,-0.005,0.101,0.059,0.1
"V153_1_Ref",-0.142,-0.062,0.208,0.025,-0.025
"V153_3",0.085,0.032,-0.124,-0.032,0.003
