"","PC1","PC2","PC3","PC4","PC5"
"V4_2",0.016,0.001,0.002,0.008,-0.016
"V4_3",0.002,0,0,-0.001,0
"V4_4",0,0,0,-0.002,-0.002
"V5_2",0.005,0.018,-0.026,0.028,-0.037
"V5_3",-0.017,-0.044,0.001,0.043,-0.018
"V5_4",-0.007,-0.006,0.004,0.002,-0.002
"V6_2",0.031,0.042,-0.012,0.009,-0.037
"V6_3",-0.044,0.014,-0.006,-0.002,0.007
"V6_4",-0.021,0.003,0.004,-0.008,0.013
"V7_2",0.021,0.031,-0.047,-0.05,0.018
"V7_3",0.035,0.015,-0.006,0.058,-0.008
"V7_4",-0.035,-0.039,0.076,0.049,-0.013
"V8_2",0.076,0.036,0.008,0.001,-0.022
"V8_3",0.013,0.025,0,-0.002,0.006
"V8_4",0.005,0.01,0.009,0.006,0.011
"V9_2",0.024,-0.002,-0.041,0.102,0.025
"V9_3",0.088,0.048,-0.005,0.06,0.002
"V9_4",0.089,0.052,0.037,0,-0.003
"V10_2",0.036,0.075,0.043,-0.008,-0.076
"V10_3",-0.019,0.011,0.017,0.022,-0.018
"V10_4",-0.008,0.003,0.006,-0.004,-0.003
"V11_2",0.022,0.001,-0.011,-0.018,-0.034
"V11_3",0,0.043,0.018,0.103,-0.013
"V11_4",-0.005,0.02,0.017,0.031,-0.002
"V12_2",-0.061,-0.059,0.028,0.038,-0.003
"V13_2",0.062,-0.095,0.103,-0.081,-0.17
"V14_2",-0.032,-0.06,-0.045,-0.077,0.042
"V15_2",-0.035,0.018,0.008,0.049,-0.004
"V16_2",-0.031,0.028,-0.066,-0.003,-0.032
"V17_2",-0.024,-0.087,0.067,-0.042,0.014
"V18_2",-0.035,-0.049,0.049,0.008,-0.057
"V19_2",0.153,0.106,-0.02,0.141,0.053
"V20_2",0.005,0.048,0,0.036,0.025
"V21_2",0.071,0.132,0.017,0.029,-0.024
"V22_2",-0.036,-0.036,0.001,-0.033,0.024
"V25_0",-0.042,0.232,0.18,0.077,-0.044
"V25_2",0,-0.159,-0.132,-0.04,0.027
"V26_0",-0.068,0.069,0.086,0.09,-0.017
"V26_2",0.05,-0.037,-0.02,-0.041,0.013
"V27_0",-0.039,0.054,0.085,0.067,-0.027
"V27_2",0.023,-0.032,-0.026,-0.021,0.017
