"","PC1","PC2","PC3","PC4","PC5"
"V9_1",-0.17,NA,NA,0.11,NA
"V10_1",NA,-0.104,NA,NA,NA
"V13_1",NA,NA,0.116,NA,NA
"V19_1",-0.126,NA,NA,0.1,NA
"V21_1",NA,-0.103,NA,NA,NA
"V25_0",NA,0.242,-0.103,NA,NA
"V25_2",NA,-0.162,NA,NA,NA
"V38_1",NA,0.189,NA,NA,NA
"V40_1",-0.125,0.107,NA,NA,NA
"V43_1",-0.114,0.113,NA,0.128,NA
"V166_4",NA,NA,NA,-0.124,NA
"V45_1",-0.115,NA,NA,NA,NA
"V45_3",NA,-0.121,NA,NA,NA
"V46_1",NA,NA,NA,-0.165,NA
"V49_1",-0.137,NA,NA,NA,NA
"V85_3",-0.109,NA,NA,NA,NA
"V86_3",NA,NA,NA,-0.138,NA
"V88_3",NA,NA,NA,-0.107,NA
"V89_3",NA,NA,NA,-0.1,NA
"V108_1",-0.102,NA,NA,NA,NA
"V109_1",NA,NA,NA,NA,0.118
"V112_2",NA,NA,0.108,NA,NA
"V116_2",NA,NA,0.11,NA,NA
"V116_4",NA,NA,-0.126,NA,NA
"V117_2",NA,NA,0.107,NA,NA
"V117_4",NA,NA,-0.11,NA,NA
"V118_2",NA,NA,0.115,NA,NA
"V127_4",NA,NA,NA,0.109,NA
"V130_1",NA,NA,NA,NA,0.104
"V219_1",NA,NA,NA,-0.105,NA
"V220_1",NA,-0.109,NA,NA,NA
"V225_3",0.103,NA,NA,NA,NA
"V146_1",-0.12,NA,NA,0.153,NA
"V146_8",NA,0.101,NA,NA,NA
"V147_1",NA,-0.106,NA,NA,NA
"V148_1",NA,-0.127,NA,-0.127,NA
"V149_1",-0.102,NA,0.118,NA,NA
"V150_1",NA,NA,NA,0.104,NA
"V151_1",NA,NA,NA,0.1,NA
"V153_1",-0.116,NA,NA,0.155,NA
"V154_1",-0.113,NA,NA,NA,NA
"V211_1",NA,NA,NA,NA,0.11
"V214_1",NA,NA,NA,NA,0.121
"V214_2",NA,NA,NA,NA,-0.123
"V245_1",NA,-0.105,NA,-0.112,0.1
"V246_1",NA,NA,NA,-0.104,0.13
"V170_1",NA,NA,NA,NA,0.105
"V171_4",NA,0.11,NA,NA,0.119
"V172_4",NA,0.11,NA,NA,NA
"V175_4",NA,0.1,NA,NA,NA
"V176_1",NA,NA,NA,-0.117,NA
"V183_1",-0.1,NA,NA,NA,NA
"V185_4",NA,NA,NA,NA,0.103
"V187_1",NA,NA,NA,0.126,NA
"V189_4",NA,0.128,NA,NA,NA
"V191_4",NA,NA,NA,0.112,NA
"V160_ Very High",NA,NA,NA,-0.102,NA
"V198_Very Low",NA,NA,NA,NA,0.133
"V209_Very Low",NA,NA,NA,-0.102,NA
"V203_Very Low",-0.143,NA,NA,NA,NA
"V204_Very Low",-0.122,NA,NA,NA,NA
"V205_Very Low",-0.107,NA,NA,NA,NA
"V207_Very Low",NA,NA,-0.102,NA,-0.169
"V206_Very Low",-0.106,NA,NA,NA,0.186
