"","PC1","PC2","PC3","PC4","PC5"
"V10_1_Ref",NA,0.136,NA,NA,NA
"V108_1_Ref",-0.126,NA,NA,NA,NA
"V109_1_Ref",NA,NA,NA,0.137,NA
"V116_4",NA,NA,NA,NA,-0.129
"V127_4",NA,NA,0.127,0.103,NA
"V13_1_Ref",NA,NA,-0.144,NA,0.16
"V130_1_Ref",NA,NA,0.102,0.12,NA
"V145_1_Ref",NA,NA,0.129,NA,NA
"V145_7",NA,-0.139,NA,NA,NA
"V146_1_Ref",-0.149,NA,0.218,NA,NA
"V146_8",NA,-0.134,NA,NA,NA
"V147_1_Ref",-0.124,0.145,NA,NA,NA
"V148_1_Ref",NA,0.218,-0.167,0.144,0.167
"V149_1_Ref",-0.131,0.11,NA,0.197,0.268
"V151_1_Ref",NA,NA,0.101,NA,0.1
"V153_1_Ref",-0.142,NA,0.208,NA,NA
"V153_3",NA,NA,-0.124,NA,NA
"V154_1_Ref",-0.136,-0.141,0.118,NA,NA
"V154_3",NA,0.139,NA,NA,NA
"V166_4",NA,NA,-0.114,NA,-0.113
"V170_1_Ref",NA,NA,NA,0.133,-0.12
"V171_4",NA,-0.135,NA,0.164,NA
"V172_4",NA,-0.17,NA,0.127,NA
"V175_4",NA,-0.151,NA,NA,-0.122
"V176_1_Ref",NA,NA,-0.17,NA,0.116
"V177_1_Ref",NA,NA,-0.132,NA,NA
"V181_1_Ref",NA,NA,NA,-0.158,NA
"V182_1_Ref",-0.11,NA,NA,-0.142,NA
"V183_1_Ref",-0.126,NA,NA,-0.14,-0.112
"V184_1_Ref",-0.126,NA,NA,-0.155,NA
"V185_1_Ref",-0.123,NA,NA,-0.132,NA
"V185_4",0.101,NA,NA,0.14,NA
"V186_1_Ref",NA,NA,NA,-0.11,NA
"V187_1_Ref",NA,NA,0.108,NA,NA
"V189_4",NA,-0.163,NA,0.143,NA
"V19_1_Ref",-0.156,NA,0.187,NA,NA
"V190_4",0.1,NA,NA,NA,NA
"V191_4",NA,NA,0.151,NA,NA
"V198_Very Low_Ref",NA,NA,NA,0.172,-0.124
"V203_Very Low_Ref",-0.179,NA,NA,NA,NA
"V204_Very Low_Ref",-0.152,NA,NA,NA,NA
"V205_Very Low_Ref",-0.134,NA,NA,NA,NA
"V206_ Very High",0.123,NA,NA,NA,-0.132
"V206_Very Low_Ref",-0.137,NA,-0.167,0.216,0.132
"V207_Very Low_Ref",-0.114,NA,NA,-0.258,-0.255
"V208_Very Low_Ref",NA,NA,NA,NA,-0.111
"V209_Very Low_Ref",NA,NA,-0.128,NA,-0.132
"V21_1_Ref",NA,0.131,NA,NA,NA
"V211_1_Ref",-0.116,NA,NA,0.105,NA
"V212_1_Ref",NA,0.116,NA,NA,NA
"V214_1_Ref",NA,NA,NA,0.102,NA
"V214_2",NA,NA,NA,-0.107,NA
"V216_1_Ref",NA,NA,NA,NA,-0.112
"V217_5",NA,NA,NA,NA,-0.173
"V218_5",NA,NA,NA,NA,-0.183
"V219_1_Ref",NA,NA,-0.136,NA,-0.213
"V220_1_Ref",NA,0.16,NA,NA,NA
"V220_5",NA,NA,NA,NA,-0.119
"V221_5",NA,NA,-0.112,NA,-0.193
"V222_5",NA,NA,-0.118,NA,-0.161
"V223_5",-0.102,NA,NA,NA,-0.112
"V224_1_Ref",NA,NA,NA,NA,-0.114
"V225_3",0.126,NA,NA,NA,NA
"V226_1_Ref",NA,NA,NA,NA,-0.167
"V227_1_Ref",NA,0.116,NA,0.126,-0.152
"V245_1_Ref",NA,0.176,-0.124,0.19,NA
"V246_1_Ref",NA,0.125,-0.161,0.178,-0.154
"V25_0",NA,-0.325,NA,NA,NA
"V25_2",NA,0.224,NA,NA,NA
"V26_0",NA,-0.107,NA,NA,NA
"V38_1_Ref",-0.103,-0.245,-0.12,NA,NA
"V40_1_Ref",-0.158,-0.11,NA,NA,NA
"V41_1_Ref",NA,-0.107,NA,NA,NA
"V42_1_Ref",NA,-0.11,NA,0.115,NA
"V43_1_Ref",-0.138,-0.187,0.123,NA,NA
"V45_1_Ref",-0.141,-0.136,NA,NA,NA
"V45_3",0.117,0.158,NA,NA,-0.101
"V46_1_Ref",NA,NA,-0.24,NA,NA
"V49_1_Ref",-0.168,NA,NA,NA,NA
"V51_1_Ref",-0.104,NA,NA,NA,NA
"V66_1_Ref",NA,NA,NA,0.1,NA
"V8_1_Ref",-0.103,NA,NA,NA,NA
"V85_1_Ref",0.102,NA,NA,NA,NA
"V85_3",-0.14,NA,-0.148,-0.112,NA
"V86_3",NA,NA,-0.175,-0.146,NA
"V87_3",NA,NA,-0.143,-0.114,NA
"V88_3",NA,NA,-0.173,-0.141,NA
"V89_3",-0.11,NA,-0.18,-0.126,-0.135
"V9_1_Ref",-0.21,NA,0.191,NA,NA
