"","PC1","PC2","PC3","PC4","PC5"
"V10_1_Ref",NA,0.113,NA,NA,NA
"V108_1_Ref",-0.117,NA,NA,NA,NA
"V116_4",NA,NA,NA,NA,-0.126
"V127_4",NA,NA,0.113,NA,NA
"V13_1_Ref",NA,NA,-0.164,NA,0.128
"V13_2",NA,NA,0.164,NA,-0.128
"V145_1_Ref",NA,NA,0.109,NA,NA
"V145_7",NA,-0.112,NA,NA,-0.1
"V146_1_Ref",-0.143,NA,0.19,NA,0.104
"V146_8",NA,-0.109,NA,NA,NA
"V147_1_Ref",-0.115,0.141,NA,NA,NA
"V148_1_Ref",NA,0.198,-0.147,NA,0.165
"V149_1_Ref",-0.124,NA,NA,0.107,0.288
"V149_2",0.145,NA,NA,NA,-0.102
"V150_1_Ref",NA,NA,NA,NA,0.102
"V150_2",NA,0.112,NA,NA,NA
"V151_1_Ref",NA,NA,NA,NA,0.122
"V151_2",NA,NA,NA,NA,-0.13
"V153_1_Ref",-0.135,NA,0.184,NA,NA
"V153_3",NA,NA,-0.107,NA,NA
"V154_1_Ref",-0.13,-0.109,NA,0.1,NA
"V154_3",NA,0.116,NA,NA,NA
"V166_4",NA,NA,NA,NA,-0.135
"V170_1_Ref",NA,NA,NA,0.139,NA
"V171_4",NA,-0.114,NA,0.154,NA
"V172_4",NA,-0.146,NA,0.119,NA
"V175_4",NA,-0.132,NA,0.107,-0.105
"V176_1_Ref",NA,NA,-0.157,NA,0.107
"V176_5",NA,NA,0.149,0.101,-0.107
"V177_1_Ref",NA,NA,-0.132,NA,NA
"V177_5",NA,NA,0.128,NA,NA
"V181_1_Ref",NA,NA,NA,-0.147,NA
"V182_1_Ref",NA,NA,NA,-0.128,NA
"V183_1_Ref",-0.116,NA,NA,-0.11,-0.138
"V184_1_Ref",-0.115,NA,NA,-0.121,-0.117
"V185_1_Ref",-0.114,NA,NA,NA,-0.101
"V185_4",NA,NA,NA,0.125,NA
"V188_4",NA,NA,NA,0.111,NA
"V189_4",NA,-0.131,NA,0.159,NA
"V19_1_Ref",-0.148,NA,0.175,NA,NA
"V19_2",0.148,NA,-0.175,NA,NA
"V190_4",NA,NA,NA,0.111,NA
"V191_4",NA,NA,0.15,0.109,NA
"V198_Very Low_Ref",NA,NA,NA,0.145,NA
"V203_Very Low_Ref",-0.169,NA,NA,NA,NA
"V204_Very Low_Ref",-0.14,NA,NA,NA,NA
"V205_Very Low_Ref",-0.125,NA,NA,NA,NA
"V206_ Very High",0.117,NA,NA,NA,-0.101
"V206_Very Low_Ref",-0.127,NA,-0.15,0.101,0.138
"V207_Very Low_Ref",-0.103,NA,NA,-0.157,-0.289
"V209_Very Low_Ref",NA,NA,NA,0.101,-0.115
"V21_1_Ref",NA,0.123,NA,NA,NA
"V21_2",NA,-0.123,NA,NA,NA
"V211_1_Ref",-0.106,NA,NA,NA,NA
"V212_1_Ref",NA,0.1,NA,NA,NA
"V217_5",NA,NA,NA,NA,-0.171
"V218_5",NA,NA,NA,NA,-0.167
"V219_1_Ref",NA,NA,-0.116,0.135,-0.15
"V220_1_Ref",NA,0.14,NA,NA,NA
"V220_5",NA,NA,NA,NA,-0.131
"V221_5",NA,NA,NA,NA,-0.183
"V222_5",NA,NA,NA,NA,-0.145
"V223_1_Ref",NA,NA,NA,0.132,NA
"V223_5",NA,NA,NA,NA,-0.102
"V224_1_Ref",NA,NA,NA,0.129,NA
"V225_3",0.116,NA,NA,NA,NA
"V226_1_Ref",NA,NA,NA,NA,-0.126
"V227_1_Ref",NA,0.103,NA,0.128,NA
"V24_2",NA,0.104,NA,NA,NA
"V243_2",NA,0.165,-0.107,0.228,NA
"V244_2",NA,0.164,-0.109,0.225,NA
"V245_1_Ref",NA,0.196,-0.121,0.262,NA
"V246_1_Ref",NA,0.147,-0.142,0.244,NA
"V25_0",NA,-0.262,NA,NA,-0.122
"V25_2",NA,0.182,NA,NA,NA
"V36_1_Ref",NA,NA,NA,0.1,NA
"V38_1_Ref",-0.101,-0.206,-0.14,0.101,NA
"V38_2",NA,0.245,0.137,NA,NA
"V40_1_Ref",-0.151,NA,-0.115,NA,NA
"V40_2",0.135,0.126,0.112,NA,NA
"V42_1_Ref",NA,NA,NA,0.138,NA
"V43_1_Ref",-0.135,-0.165,NA,NA,NA
"V43_2",0.135,0.165,NA,NA,NA
"V45_1_Ref",-0.134,-0.114,NA,NA,NA
"V45_3",0.113,0.147,NA,NA,NA
"V46_1_Ref",NA,NA,-0.197,NA,NA
"V49_1_Ref",-0.157,NA,NA,NA,NA
"V66_1_Ref",NA,NA,NA,0.101,NA
"V67_3",NA,NA,NA,NA,-0.103
"V85_3",-0.129,NA,-0.125,NA,NA
"V86_3",NA,NA,-0.129,-0.101,-0.136
"V87_3",NA,NA,-0.112,NA,NA
"V88_3",NA,NA,-0.134,NA,-0.109
"V89_3",-0.1,NA,-0.145,NA,-0.161
"V9_1_Ref",-0.198,NA,0.174,NA,NA
