"","PC1","PC2","PC3","PC4","PC5"
"V106_4",0.113,NA,NA,0.115,NA
"V107_4",0.116,NA,NA,NA,NA
"V116_4",NA,NA,NA,0.17,0.152
"V12_2",NA,NA,NA,0.12,NA
"V127_4",NA,NA,-0.137,NA,NA
"V129_4",-0.137,NA,NA,NA,NA
"V13_2",NA,NA,-0.105,NA,0.356
"V142_2",NA,NA,NA,-0.14,NA
"V145_7",-0.109,0.171,NA,0.111,NA
"V146_8",-0.123,0.169,NA,NA,NA
"V147_2",NA,0.14,NA,NA,NA
"V148_2",-0.135,0.119,NA,-0.103,NA
"V149_2",-0.215,NA,0.176,NA,NA
"V150_2",NA,-0.12,0.151,0.157,NA
"V151_2",NA,NA,0.189,0.154,NA
"V153_3",-0.117,NA,0.147,NA,NA
"V153_4",-0.128,NA,NA,NA,NA
"V154_3",NA,-0.144,NA,NA,NA
"V162_High",NA,NA,NA,0.12,NA
"V166_4",NA,NA,0.144,0.26,NA
"V169_3",-0.119,NA,NA,NA,NA
"V171_4",NA,0.195,NA,NA,NA
"V172_4",NA,0.217,-0.11,0.122,NA
"V175_4",NA,0.211,NA,0.109,0.1
"V176_5",NA,NA,-0.175,0.204,NA
"V177_5",NA,NA,-0.134,0.185,NA
"V185_4",-0.158,NA,NA,NA,NA
"V187_2",NA,NA,0.138,0.115,-0.116
"V188_4",-0.119,0.123,NA,NA,0.105
"V189_4",NA,0.217,NA,0.119,NA
"V19_2",-0.203,0.124,0.236,NA,-0.179
"V190_4",-0.145,0.122,NA,NA,NA
"V191_4",-0.155,0.1,-0.133,NA,0.229
"V203_ Very High",-0.141,NA,NA,NA,0.11
"V206_ Very High",-0.182,NA,NA,0.148,NA
"V21_2",NA,0.189,0.108,NA,NA
"V211_2",NA,NA,NA,-0.103,NA
"V213_2",NA,NA,NA,-0.107,0.22
"V214_2",NA,NA,NA,-0.141,0.2
"V216_2",NA,NA,NA,NA,0.215
"V217_5",0.123,NA,NA,0.17,0.158
"V218_5",0.144,NA,NA,0.195,0.14
"V220_5",NA,0.112,NA,0.144,NA
"V221_5",NA,NA,0.101,0.25,NA
"V222_5",0.144,NA,NA,0.204,NA
"V223_5",0.152,NA,NA,0.15,NA
"V225_3",-0.184,NA,NA,NA,NA
"V24_2",0.108,-0.139,NA,NA,NA
"V243_2",NA,-0.211,0.102,0.142,-0.103
"V244_2",NA,-0.21,0.105,0.144,-0.109
"V25_0",NA,0.364,0.11,0.148,NA
"V25_2",NA,-0.259,NA,-0.104,NA
"V26_0",NA,0.108,NA,0.144,NA
"V35_0",0.115,NA,NA,0.169,-0.107
"V38_2",-0.167,-0.306,NA,0.151,0.142
"V39_2",NA,-0.102,NA,0.138,NA
"V40_2",-0.23,-0.123,NA,0.136,0.202
"V41_2",-0.12,-0.108,NA,NA,NA
"V43_2",-0.208,-0.172,0.194,NA,NA
"V45_3",-0.192,-0.148,NA,0.168,NA
"V47_3",-0.122,NA,NA,0.111,NA
"V50_3",NA,NA,0.109,NA,NA
"V67_3",NA,NA,NA,0.106,NA
"V85_3",0.219,NA,0.248,-0.102,0.187
"V86_3",0.145,NA,0.31,NA,0.271
"V87_2",NA,NA,NA,NA,0.128
"V87_3",0.138,NA,0.257,NA,0.229
"V88_3",0.136,NA,0.305,NA,0.263
"V89_2",NA,NA,NA,NA,0.119
"V89_3",0.179,NA,0.337,NA,0.245
"V95_Med",NA,NA,0.15,NA,NA
