"","PC1","PC2","PC3","PC4","PC5"
"V9_2",NA,NA,NA,0.102,NA
"V11_3",NA,NA,NA,0.103,NA
"V13_2",NA,NA,0.104,NA,-0.172
"V19_2",0.154,0.106,NA,0.143,NA
"V21_2",NA,0.133,NA,NA,NA
"V25_0",NA,0.235,0.176,NA,NA
"V25_2",NA,-0.161,-0.13,NA,NA
"V42_2",NA,-0.128,NA,NA,NA
"V38_2",0.108,-0.25,NA,NA,NA
"V40_2",0.154,-0.149,NA,NA,NA
"V43_2",0.153,-0.108,NA,0.162,NA
"V24_2",NA,-0.101,NA,NA,NA
"V166_2",NA,NA,-0.115,NA,NA
"V166_4",NA,NA,0.112,0.166,NA
"V167_4",NA,NA,0.102,NA,0.107
"V45_3",0.132,-0.138,NA,NA,NA
"V85_3",-0.148,NA,NA,NA,-0.145
"V86_2",NA,NA,NA,-0.108,NA
"V86_3",NA,NA,NA,0.157,-0.186
"V87_3",NA,NA,NA,NA,-0.15
"V88_3",NA,NA,NA,0.122,-0.193
"V89_3",-0.114,NA,NA,0.127,-0.136
"V110_2",NA,NA,-0.101,NA,NA
"V112_2",NA,NA,-0.114,NA,NA
"V116_2",NA,NA,-0.108,NA,NA
"V116_4",NA,NA,0.117,NA,-0.116
"V117_2",NA,NA,-0.106,NA,NA
"V117_4",NA,NA,NA,NA,-0.118
"V118_2",NA,NA,-0.114,NA,NA
"V120_2",NA,NA,-0.1,NA,NA
"V121_2",NA,NA,-0.104,NA,NA
"V127_4",NA,NA,NA,-0.125,NA
"V129_4",0.104,NA,NA,NA,NA
"V130_2",NA,NA,NA,NA,-0.11
"V142_3",NA,NA,NA,NA,-0.132
"V217_2",NA,NA,NA,0.105,NA
"V218_5",-0.107,NA,NA,NA,NA
"V222_5",-0.104,NA,NA,NA,NA
"V223_5",-0.112,NA,NA,NA,NA
"V225_3",0.136,NA,NA,NA,NA
"V145_2",NA,-0.102,NA,NA,NA
"V145_7",NA,NA,0.112,NA,NA
"V146_2",NA,-0.1,NA,NA,NA
"V146_8",NA,0.11,NA,NA,NA
"V148_2",0.104,NA,NA,NA,NA
"V149_2",0.161,NA,NA,NA,NA
"V150_2",NA,NA,NA,0.153,NA
"V151_2",NA,NA,NA,0.163,NA
"V153_3",NA,NA,NA,0.121,NA
"V154_4",0.1,NA,NA,NA,NA
"V212_2",NA,NA,NA,NA,-0.143
"V213_2",NA,NA,NA,NA,-0.187
"V214_2",NA,NA,NA,NA,-0.198
"V216_2",NA,NA,NA,NA,-0.155
"V216_4",NA,NA,NA,NA,0.111
"V243_2",NA,-0.114,NA,0.125,0.106
"V244_2",NA,-0.112,NA,0.128,0.107
"V171_4",NA,0.141,NA,NA,NA
"V172_4",NA,0.122,NA,NA,NA
"V175_4",NA,0.121,NA,NA,NA
"V176_5",NA,NA,NA,-0.116,NA
"V177_5",NA,NA,0.104,NA,NA
"V185_4",0.111,NA,NA,NA,NA
"V187_2",NA,NA,NA,0.165,NA
"V188_4",NA,NA,0.105,NA,NA
"V189_4",NA,0.148,NA,NA,NA
"V190_4",0.106,NA,NA,NA,NA
"V191_4",0.108,NA,0.119,-0.127,NA
"V160_ Very High",NA,NA,NA,0.131,NA
"V95_Med",NA,NA,NA,0.103,NA
"V197_ Very High",NA,NA,NA,NA,0.111
"V203_ Very High",0.1,NA,NA,NA,NA
"V206_ Very High",0.129,NA,NA,NA,NA
"V162_High",NA,NA,NA,NA,0.114
