"","V161","V162","V163"
"1",2,3,1
"2",1,2,3
"3",0,2,2
"4",1,3,3
"5",1,3,2
"6",2,2,2
"7",1,3,2
"8",1,3,3
"9",2,4,4
"10",3,0,1
"11",1,2,2
"12",1,2,2
"13",1,3,3
"14",2,2,3
"15",2,2,2
"16",2,2,2
"17",2,0,1
"18",2,2,2
"19",2,2,2
"20",2,2,1
"21",3,4,4
"22",1,4,4
"23",4,4,4
"24",4,2,4
"25",4,4,4
"26",0,0,0
"27",0,4,4
"28",0,4,4
"29",0,-2,-2
"30",4,2,4
"31",4,4,4
"32",4,4,4
"33",1,2,4
"34",0,1,0
"35",2,2,2
"36",3,3,3
"37",0,0,2
"38",0,0,0
"39",0,0,0
"40",0,0,0
"41",4,3,4
"42",3,3,4
"43",3,4,4
"44",4,3,4
"45",-2,-2,-2
"46",3,4,4
"47",3,2,4
"48",3,3,3
"49",4,4,4
"50",0,2,3
"51",1,3,2
"52",0,2,4
"53",3,3,4
"54",2,3,4
"55",0,0,0
"56",4,4,4
"57",2,2,2
"58",0,1,1
"59",2,3,4
"60",4,4,4
"61",-2,4,4
"62",2,3,3
"63",3,3,4
"64",2,3,3
"65",2,2,3
"66",4,4,4
"67",4,4,4
"68",4,4,4
"69",4,4,4
"70",3,3,3
"71",2,2,2
"72",0,-2,4
"73",2,2,2
"74",0,-2,4
"75",2,2,2
"76",2,2,2
"77",2,2,2
"78",2,2,2
"79",2,2,2
"80",2,2,2
"81",2,2,2
"82",3,3,3
"83",4,4,2
"84",2,2,2
"85",2,2,2
"86",2,2,2
"87",2,2,2
"88",2,2,2
"89",-2,-2,-2
"90",2,2,2
"91",2,2,2
"92",2,2,2
"93",2,2,2
"94",4,4,2
"95",2,2,2
"96",2,2,2
"97",2,2,2
"98",2,2,2
"99",2,2,2
"100",2,2,2
"101",2,2,2
"102",2,2,2
"103",2,2,2
"104",2,2,2
"105",2,2,2
"106",2,2,2
"107",4,4,2
"108",4,4,2
"109",2,2,2
"110",4,4,2
"111",2,2,2
"112",2,2,2
"113",4,4,2
"114",2,2,2
"115",-2,-2,-2
"116",2,2,2
"117",-2,-2,-2
"118",2,2,2
"119",2,2,2
"120",2,2,2
"121",2,2,2
"122",3,3,3
"123",0,-2,4
"124",2,2,2
"125",3,3,3
"126",2,2,2
"127",2,2,2
"128",2,2,2
"129",-2,-2,-2
"130",2,2,2
"131",3,3,3
"132",3,3,1
"133",3,3,3
"134",3,3,3
"135",3,3,3
"136",4,4,4
"137",2,2,2
"138",3,3,3
"139",4,4,4
"140",3,3,3
"141",3,3,3
"142",3,3,3
"143",3,1,3
"144",3,4,4
"145",3,3,3
"146",4,4,4
"147",3,2,2
"148",3,3,3
"149",3,3,3
"150",3,1,3
"151",4,4,4
"152",2,4,3
"153",2,3,3
"154",2,2,3
"155",2,4,4
"156",3,3,2
"157",4,4,4
"158",3,3,2
"159",2,3,3
"160",4,4,4
"161",4,3,4
"162",4,3,4
"163",4,-2,4
"164",3,4,4
"165",0,0,0
"166",0,3,3
"167",4,1,3
"168",-2,-2,3
"169",2,2,3
"170",-2,-2,-2
"171",1,1,1
"172",4,4,4
"173",3,3,3
"174",2,4,4
"175",4,4,4
"176",4,4,4
"177",4,4,4
"178",4,2,2
"179",4,4,2
"180",4,4,4
"181",4,4,4
"182",2,2,2
"183",4,0,4
"184",4,4,4
"185",4,4,4
"186",2,2,2
"187",4,0,4
"188",4,4,4
"189",4,4,4
"190",4,4,4
"191",2,3,4
"192",2,2,4
"193",4,4,4
"194",2,0,4
"195",3,3,4
"196",3,2,4
"197",3,2,4
"198",-2,-2,-2
"199",4,4,4
"200",-2,-2,-2
"201",1,1,0
"202",4,4,4
"203",1,4,4
"204",4,4,4
"205",4,4,4
"206",0,2,4
"207",4,4,4
"208",4,4,4
"209",4,4,4
"210",4,4,4
"211",2,3,3
"212",2,3,3
"213",3,4,4
"214",2,1,2
"215",3,3,4
"216",2,1,3
"217",2,3,4
"218",2,3,4
"219",3,2,3
"220",2,3,4
"221",3,4,4
"222",2,3,2
"223",3,3,3
"224",1,2,3
"225",2,4,4
"226",3,3,3
"227",2,2,3
"228",2,3,2
"229",3,2,3
"230",3,4,3
"231",3,4,4
"232",2,4,4
"233",3,4,4
"234",3,4,4
"235",2,3,4
"236",2,3,4
"237",4,4,4
"238",2,3,2
"239",2,3,4
"240",1,3,4
"241",2,3,4
"242",3,2,4
"243",3,1,4
"244",0,0,4
"245",2,3,4
"246",2,3,4
"247",2,4,2
"248",3,-2,4
"249",2,4,4
"250",4,4,4
"251",1,3,4
"252",2,3,0
"253",1,3,4
"254",2,3,4
"255",2,4,4
"256",2,3,4
"257",1,3,2
"258",1,4,3
"259",1,3,4
"260",1,4,3
"261",4,4,4
"262",4,4,4
"263",3,4,4
"264",1,2,0
"265",4,4,4
"266",-2,-2,-2
"267",1,2,4
"268",2,2,3
"269",0,0,0
"270",4,2,4
"271",2,2,2
"272",3,3,4
"273",2,2,4
"274",-2,-2,4
"275",4,4,4
"276",2,3,4
"277",0,-2,4
"278",3,3,3
"279",3,3,4
"280",4,2,4
"281",3,3,4
"282",3,3,4
"283",2,2,1
"284",4,0,4
"285",4,4,4
"286",3,3,4
"287",3,1,4
"288",4,4,4
"289",4,2,4
"290",3,3,4
"291",4,2,4
"292",2,3,4
"293",3,2,4
"294",1,1,1
"295",3,2,2
"296",3,4,4
"297",-2,-2,-2
"298",2,2,3
"299",4,4,4
"300",4,4,4
"301",3,4,2
"302",4,4,4
"303",2,2,2
"304",-2,-2,-2
"305",4,0,4
"306",2,3,3
"307",-2,-2,4
"308",3,4,4
"309",3,4,4
"310",3,3,4
"311",-2,-2,-2
"312",0,1,3
"313",4,4,4
"314",3,3,4
"315",3,1,4
"316",3,3,4
"317",3,4,4
"318",4,4,4
"319",1,2,2
"320",-2,-2,-2
"321",3,3,3
"322",3,3,3
"323",3,3,3
"324",4,4,4
"325",3,3,3
"326",3,3,3
"327",3,3,3
"328",3,3,3
"329",1,1,1
"330",3,3,3
"331",4,1,3
"332",3,1,3
"333",4,0,4
"334",3,0,4
"335",0,0,0
"336",3,0,3
"337",3,1,3
"338",3,1,3
"339",4,0,4
"340",3,0,4
"341",2,1,3
"342",3,1,3
"343",3,2,4
"344",2,1,4
"345",2,0,3
"346",0,4,4
"347",3,0,3
"348",3,0,2
"349",4,2,1
"350",3,3,3
"351",2,0,3
"352",2,0,3
"353",3,1,2
"354",0,0,2
"355",3,1,3
"356",3,0,2
"357",2,0,3
"358",2,2,3
"359",3,0,2
"360",3,4,1
"361",2,2,2
"362",-2,-2,-2
"363",4,4,4
"364",2,2,2
"365",3,3,3
"366",3,3,3
"367",2,2,2
"368",3,3,3
"369",-2,-2,-2
"370",3,3,1
"371",2,2,2
"372",2,2,0
"373",-2,-2,-2
"374",0,0,0
"375",-2,-2,-2
"376",-2,-2,-2
"377",-2,-2,-2
"378",-2,-2,-2
"379",-2,-2,-2
"380",-2,-2,-2
"381",3,0,3
"382",3,0,3
"383",1,0,3
"384",3,0,2
"385",2,0,3
"386",3,0,3
"387",2,0,3
"388",3,0,3
"389",3,0,3
"390",3,0,2
"391",1,4,4
"392",3,3,3
"393",2,2,2
"394",3,3,3
"395",2,2,2
"396",3,3,3
"397",3,3,3
"398",4,4,4
"399",3,3,3
"400",3,3,3
"401",3,0,4
"402",4,4,4
"403",4,1,3
"404",4,3,4
