"","V2","V258","V231","V232","V233","V239"
"1",12,1,-3,-3,-3,5
"2",12,1,-3,-3,-3,6
"3",12,1,7,6,5,6
"4",12,1,8,5,6,5
"5",12,1,5,6,9,7
"6",12,1,5,5,5,5
"7",12,1,7,7,7,7
"8",12,1,8,8,4,2
"9",12,1,5,7,6,5
"10",12,1,-3,-3,-3,4
"11",12,1,-3,-3,-3,5
"12",12,1,7,8,5,4
"13",12,1,-3,-3,-3,3
"14",12,1,7,8,4,5
"15",12,1,7,8,3,4
"16",12,1,5,7,7,4
"17",12,1,7,7,5,5
"18",12,1,-3,-3,-3,5
"19",12,1,8,4,5,4
"20",12,1,-3,-3,-3,5
"21",12,1,-3,-3,-3,7
"22",12,1,-3,-3,-3,1
"23",12,1,-3,-3,-3,1
"24",12,1,-3,-3,-3,5
"25",12,1,10,1,1,3
"26",12,1,1,10,1,3
"27",12,1,-3,-3,-3,5
"28",12,1,5,5,1,4
"29",12,1,-3,-3,-3,5
"30",12,1,10,5,5,5
"31",12,1,-3,-3,-3,6
"32",12,1,1,10,1,4
"33",12,1,10,5,1,4
"34",12,1,-3,-3,-3,5
"35",12,1,10,1,1,2
"36",12,1,5,5,5,5
"37",12,1,-3,-3,-3,5
"38",12,1,5,5,5,3
"39",12,1,5,5,5,3
"40",12,1,-3,-3,-3,4
"41",12,1,-3,-3,-3,5
"42",12,1,10,6,8,9
"43",12,1,7,5,7,1
"44",12,1,9,6,7,3
"45",12,1,1,1,1,10
"46",12,1,8,4,4,7
"47",12,1,10,5,4,5
"48",12,1,-3,-3,-3,7
"49",12,1,-3,-3,-3,7
"50",12,1,1,1,1,5
"51",12,1,-3,-3,-3,3
"52",12,1,-3,-3,-3,5
"53",12,1,-3,-3,-3,3
"54",12,1,-3,-3,-3,9
"55",12,1,-3,-3,-3,8
"56",12,1,4,2,8,4
"57",12,1,-3,-3,-3,5
"58",12,1,8,1,5,5
"59",12,1,-3,-3,-3,5
"60",12,1,-3,-3,-3,3
"61",12,1,-3,-3,-3,6
"62",12,1,-3,-3,-3,7
"63",12,1,-3,-3,-3,6
"64",12,1,6,1,7,7
"65",12,1,-3,-3,-3,8
"66",12,1,-3,-3,-3,4
"67",12,1,-3,-3,-3,6
"68",12,1,-3,-3,-3,4
"69",12,1,10,3,6,7
"70",12,1,2,2,2,3
"71",12,1,1,1,5,5
"72",12,1,-3,-3,-3,2
"73",12,1,5,5,-2,5
"74",12,1,-3,-3,-3,2
"75",12,1,5,6,-2,5
"76",12,1,1,1,5,5
"77",12,1,5,5,5,4
"78",12,1,1,1,-2,3
"79",12,1,-2,-2,-2,2
"80",12,1,1,1,-2,3
"81",12,1,-3,-3,-3,5
"82",12,1,-3,-3,-3,5
"83",12,1,-3,-3,-3,2
"84",12,1,1,5,5,5
"85",12,1,1,1,10,5
"86",12,1,5,5,5,5
"87",12,1,5,5,-2,5
"88",12,1,-3,-3,-3,3
"89",12,1,-2,-2,-2,2
"90",12,1,1,1,-2,3
"91",12,1,-3,-3,-3,1
"92",12,1,-3,-3,-3,1
"93",12,1,5,5,-2,5
"94",12,1,-3,-3,-3,2
"95",12,1,5,5,-2,5
"96",12,1,1,1,5,5
"97",12,1,1,1,1,5
"98",12,1,1,1,-2,3
"99",12,1,1,-2,-2,2
"100",12,1,1,1,-2,3
"101",12,1,-3,-3,-3,5
"102",12,1,5,1,5,5
"103",12,1,1,1,5,5
"104",12,1,1,1,1,5
"105",12,1,5,5,-2,5
"106",12,1,5,5,-2,5
"107",12,1,-3,-3,-3,2
"108",12,1,-3,-3,-3,2
"109",12,1,5,5,-2,5
"110",12,1,-3,-3,-3,2
"111",12,1,-3,-3,-3,5
"112",12,1,5,5,-2,5
"113",12,1,-3,-3,-3,2
"114",12,1,-3,-3,-3,4
"115",12,1,-2,-2,-2,2
"116",12,1,5,5,-2,5
"117",12,1,1,-2,-2,2
"118",12,1,1,1,-2,3
"119",12,1,1,1,1,5
"120",12,1,1,1,1,5
"121",12,1,-3,-3,-3,7
"122",12,1,-3,-3,-3,5
"123",12,1,-3,-3,-3,2
"124",12,1,1,1,5,5
"125",12,1,-3,-3,-3,3
"126",12,1,5,5,-2,5
"127",12,1,1,1,5,5
"128",12,1,5,5,-2,5
"129",12,1,-2,-2,-2,2
"130",12,1,1,-2,-2,2
"131",12,1,-3,-3,-3,4
"132",12,1,-3,-3,-3,4
"133",12,1,-3,-3,-3,2
"134",12,1,2,2,2,2
"135",12,1,3,3,9,2
"136",12,1,-3,-3,-3,3
