"","","","R_squared","P_Values"
"1","V9_1_Ref","V19_1_Ref","0.779220779220779","2.23186192723212e-17"
"2","V9_1_Ref","V49_1_Ref","0.702597402597403","2.05605949613607e-14"
"3","V9_1_Ref","V146_1_Ref","0.722962038779502","3.65100613692883e-15"
"4","V9_1_Ref","V153_1_Ref","0.753736351448104","2.42899370115791e-16"
"5","V9_1_Ref","V153_4","-0.707792207792208","1.32271958330325e-14"
"6","V9_3","V19_1_Ref","-0.75154274830897","2.90173203422351e-16"
"7","V9_3","V146_1_Ref","-0.718648473034438","5.40610404533312e-15"
"8","V9_3","V153_1_Ref","-0.735131660531658","1.3065020609366e-15"
"9","V9_4","V19_1_Ref","-0.712569053496059","8.95492498898968e-15"
"10","V9_4","V146_1_Ref","-0.701754385964912","2.28786026573671e-14"
"11","V9_4","V153_4","0.703475191373047","1.94320425256373e-14"
"12","V19_1_Ref","V9_1_Ref","0.779220779220779","2.23186192723212e-17"
"13","V19_1_Ref","V9_3","-0.75154274830897","2.90173203422351e-16"
"14","V19_1_Ref","V9_4","-0.712569053496059","8.95492498898968e-15"
"15","V19_1_Ref","V146_1_Ref","0.708671684014768","1.24959783993893e-14"
"16","V19_1_Ref","V153_1_Ref","0.709551806708043","1.18045369465804e-14"
"17","V26_0","V27_0","0.821312713991727","4.11582421781262e-19"
"18","V26_0","V27_1_Ref","-0.705194805194805","1.64976692586658e-14"
"19","V26_0","V27_2","-0.704774314533477","1.74064240655123e-14"
"20","V26_0","V31_0","0.745454545454545","4.91700095374599e-16"
"21","V26_1_Ref","V27_0","-0.777128169251666","2.834400857134e-17"
"22","V26_1_Ref","V27_1_Ref","0.85974025974026","8.17103426661692e-21"
"23","V26_1_Ref","V30_0","-0.74025974025974","7.81961613584593e-16"
"24","V26_1_Ref","V30_1_Ref","0.758934533182229","1.5152983815979e-16"
"25","V26_1_Ref","V31_0","-0.738961038961039","8.77693428160104e-16"
"26","V26_1_Ref","V31_1_Ref","0.738961038961039","8.77693428160104e-16"
"27","V26_1_Ref","V32_1_Ref","0.745454545454545","4.91700095374599e-16"
"28","V26_1_Ref","V34_0","-0.714285714285714","7.58726899686929e-15"
"29","V26_1_Ref","V34_1_Ref","0.768031351216948","6.58533276671068e-17"
"30","V26_2","V27_2","0.726445743989603","2.74686774533941e-15"
"31","V27_0","V26_0","0.821312713991727","4.11582421781262e-19"
"32","V27_0","V26_1_Ref","-0.777128169251666","2.834400857134e-17"
"33","V27_0","V30_0","0.766731805783416","7.42228309742007e-17"
"34","V27_0","V30_1_Ref","-0.728868660598179","2.30920964316781e-15"
"35","V27_0","V31_0","0.782326350985791","1.74328130132068e-17"
"36","V27_0","V31_1_Ref","-0.714749988442168","7.56402932828039e-15"
"37","V27_1_Ref","V26_0","-0.705194805194805","1.64976692586658e-14"
"38","V27_1_Ref","V26_1_Ref","0.85974025974026","8.17103426661692e-21"
"39","V27_1_Ref","V30_0","-0.758441558441558","1.5205392536556e-16"
"40","V27_1_Ref","V30_1_Ref","0.796621350754634","4.50599766898312e-18"
"41","V27_1_Ref","V31_0","-0.702597402597403","2.05605949613607e-14"
"42","V27_1_Ref","V31_1_Ref","0.725974025974026","2.75557899224568e-15"
"43","V27_1_Ref","V32_1_Ref","0.703896103896104","1.84192460123084e-14"
"44","V27_1_Ref","V33_0","-0.71038961038961","1.05967140217932e-14"
"45","V27_1_Ref","V33_1_Ref","0.703054079540387","2.04996281445022e-14"
"46","V27_1_Ref","V34_1_Ref","0.751137260581042","3.07168680803662e-16"
"47","V27_2","V26_0","-0.704774314533477","1.74064240655123e-14"
"48","V27_2","V26_2","0.726445743989603","2.74686774533941e-15"
"49","V30_0","V26_1_Ref","-0.74025974025974","7.81961613584593e-16"
"50","V30_0","V27_0","0.766731805783416","7.42228309742007e-17"
"51","V30_0","V27_1_Ref","-0.758441558441558","1.5205392536556e-16"
"52","V30_0","V31_0","0.803896103896104","2.14094687773208e-18"
"53","V30_0","V31_1_Ref","-0.725974025974026","2.75557899224568e-15"
"54","V30_0","V32_0","0.766233766233766","7.44847795506337e-17"
"55","V30_0","V32_1_Ref","-0.724675324675325","3.08623893674702e-15"
"56","V30_0","V33_0","0.793506493506493","5.79473642183741e-18"
"57","V30_0","V34_0","0.797402597402597","3.99499326554112e-18"
"58","V30_0","V34_1_Ref","-0.726445897343949","2.74686492029201e-15"
"59","V30_1_Ref","V26_1_Ref","0.758934533182229","1.5152983815979e-16"
"60","V30_1_Ref","V27_0","-0.728868660598179","2.30920964316781e-15"
"61","V30_1_Ref","V27_1_Ref","0.796621350754634","4.50599766898312e-18"
"62","V30_1_Ref","V31_0","-0.72774544277748","2.45205534826842e-15"
"63","V30_1_Ref","V31_1_Ref","0.790123623586978","8.35904293153612e-18"
"64","V30_1_Ref","V32_0","-0.732943624511605","1.5539854835651e-15"
"65","V30_1_Ref","V32_1_Ref","0.808317259656415","1.46329874260052e-18"
"66","V30_1_Ref","V33_0","-0.748538169713979","3.88137081979634e-16"
"67","V30_1_Ref","V33_1_Ref","0.784135240572172","1.53739101065053e-17"
"68","V30_1_Ref","V34_0","-0.714749988442168","7.56402932828039e-15"
"69","V30_1_Ref","V34_1_Ref","0.788686605981795","1.00146232731759e-17"
"70","V31_0","V26_0","0.745454545454545","4.91700095374599e-16"
"71","V31_0","V26_1_Ref","-0.738961038961039","8.77693428160104e-16"
"72","V31_0","V27_0","0.782326350985791","1.74328130132068e-17"
"73","V31_0","V27_1_Ref","-0.702597402597403","2.05605949613607e-14"
"74","V31_0","V30_0","0.803896103896104","2.14094687773208e-18"
"75","V31_0","V30_1_Ref","-0.72774544277748","2.45205534826842e-15"
"76","V31_0","V32_0","0.816883116883117","6.05837650168316e-19"
"77","V31_0","V32_1_Ref","-0.731168831168831","1.74779742259369e-15"
"78","V31_0","V33_0","0.714285714285714","7.58726899686929e-15"
"79","V31_0","V34_0","0.728571428571429","2.19544720312687e-15"
"80","V31_1_Ref","V26_1_Ref","0.738961038961039","8.77693428160104e-16"
"81","V31_1_Ref","V27_0","-0.714749988442168","7.56402932828039e-15"
"82","V31_1_Ref","V27_1_Ref","0.725974025974026","2.75557899224568e-15"
"83","V31_1_Ref","V30_0","-0.725974025974026","2.75557899224568e-15"
"84","V31_1_Ref","V30_1_Ref","0.790123623586978","8.35904293153612e-18"
"85","V31_1_Ref","V32_0","-0.746753246753247","4.37638090587054e-16"
"86","V31_1_Ref","V32_1_Ref","0.803896103896104","2.14094687773208e-18"
"87","V31_1_Ref","V33_1_Ref","0.708252261274512","1.31874021355872e-14"
"88","V31_1_Ref","V34_1_Ref","0.72774544277748","2.45205534826842e-15"
"89","V32_0","V30_0","0.766233766233766","7.44847795506337e-17"
"90","V32_0","V30_1_Ref","-0.732943624511605","1.5539854835651e-15"
"91","V32_0","V31_0","0.816883116883117","6.05837650168316e-19"
"92","V32_0","V31_1_Ref","-0.746753246753247","4.37638090587054e-16"
"93","V32_0","V33_0","0.715584415584416","6.7850437526519e-15"
"94","V32_1_Ref","V26_1_Ref","0.745454545454545","4.91700095374599e-16"
"95","V32_1_Ref","V27_1_Ref","0.703896103896104","1.84192460123084e-14"
"96","V32_1_Ref","V30_0","-0.724675324675325","3.08623893674702e-15"
"97","V32_1_Ref","V30_1_Ref","0.808317259656415","1.46329874260052e-18"
"98","V32_1_Ref","V31_0","-0.731168831168831","1.74779742259369e-15"
"99","V32_1_Ref","V31_1_Ref","0.803896103896104","2.14094687773208e-18"
"100","V32_1_Ref","V33_1_Ref","0.72774544277748","2.45205534826842e-15"
"101","V32_1_Ref","V34_1_Ref","0.725146351910418","3.07651352082237e-15"
"102","V33_0","V27_1_Ref","-0.71038961038961","1.05967140217932e-14"
"103","V33_0","V30_0","0.793506493506493","5.79473642183741e-18"
"104","V33_0","V30_1_Ref","-0.748538169713979","3.88137081979634e-16"
