"","V1","Description.x","R_squared","V2","Description.y"
"1","V99_Low","I mostly agree that competition is good it stimulates people to work hard and develop new ideas","0.756739240950692","V100_Low","I mostly agree that in the long run, hard work usually brings a better life"
"2","V107_2","I somewhat trust people of another nationality ","0.706493506493507","V106_2","I somewhat trust people of another religion"
"3","V107_3","I do not trust people of another nationality very much. ","0.754140994629831","V106_3","I do not trust people of another religion very much"
"4","V107_4","I do not trust people of another nationality at all. ","0.732467532467532","V106_4","I do not trust people of another religion at all. "
"5","V106_2","I somewhat trust people of another religion","0.706493506493507","V107_2","I somewhat trust people of another nationality "
"6","V106_3","I do not trust people of another religion very much","0.754140994629831","V107_3","I do not trust people of another nationality very much. "
"7","V106_4","I do not trust people of another religion at all. ","0.732467532467532","V107_4","I do not trust people of another nationality at all. "
"8","V111_1_Ref","I have a great deal of confidence in television","0.791815566282312","V110_1_Ref","I have a great deal of confidence in the press"
"9","V111_2","I have quite a lot of confidence in television","0.768831168831169","V110_2","I have quite a lot of confidence in the press"
"10","V111_3","I do not have very much confidence in television","0.751948051948052","V110_3","I do not very much confidence in the press"
"11","V111_4","I have no confidence in television at all","0.800909428405325","V110_4","I have no confidence in the press at all"
"12","V110_1_Ref","I have a great deal of confidence in the press","0.791815566282312","V111_1_Ref","I have a great deal of confidence in television"
"13","V110_2","I have quite a lot of confidence in the press","0.768831168831169","V111_2","I have quite a lot of confidence in television"
"14","V110_3","I do not very much confidence in the press","0.751948051948052","V111_3","I do not have very much confidence in television"
"15","V110_4","I have no confidence in the press at all","0.800909428405325","V111_4","I have no confidence in television at all"
"16","V117_1_Ref","I have a great deal of confidence in parliament","0.711688311688312","V115_1_Ref","I have a great deal of confidence in the government."
"17","V117_3","I  do not have very much confidence in parliament","0.733831692962194","V115_3","I do not have a lot of confidence in the government"
"18","V116_4","I have no confindence at all in political parties","0.741558441558442","V115_4","I have no confidence at all in the government"
"19","V117_4","I have no confidence at all in parliament. ","0.745047132506819","V115_4","I have no confidence at all in the government"
"20","V117_1_Ref","I have a great deal of confidence in parliament","0.785714285714286","V116_1_Ref","I have a great deal of confidence in political parties"
"21","V117_2","I have quite a lot of confidence in parliament","0.723376623376623","V116_2","I have quite a lot of confidence in political parties"
"22","V115_4","I have no confidence at all in the government","0.741558441558442","V116_4","I have no confindence at all in political parties"
"23","V117_4","I have no confidence at all in parliament. ","0.810003290528337","V116_4","I have no confindence at all in political parties"
"24","V115_1_Ref","I have a great deal of confidence in the government.","0.711688311688312","V117_1_Ref","I have a great deal of confidence in parliament"
"25","V116_1_Ref","I have a great deal of confidence in political parties","0.785714285714286","V117_1_Ref","I have a great deal of confidence in parliament"
"26","V116_2","I have quite a lot of confidence in political parties","0.723376623376623","V117_2","I have quite a lot of confidence in parliament"
"27","V115_3","I do not have a lot of confidence in the government","0.733831692962194","V117_3","I  do not have very much confidence in parliament"
"28","V115_4","I have no confidence at all in the government","0.745047132506819","V117_4","I have no confidence at all in parliament. "
"29","V116_4","I have no confindence at all in political parties","0.810003290528337","V117_4","I have no confidence at all in parliament. "
"30","V123_1_Ref","I have a great deal of confidence in women's organizations","0.788823911630929","V122_1_Ref","I have a great deal of confidence in environmental organizations"
"31","V123_2","I have a great of confidence in women's organizations","0.771428571428571","V122_2","I have quite a lot of confidence in environmental organizations"
"32","V123_3","I do not have very much confidence in women's organizations","0.749350649350649","V122_3","I do not have very much confidence in environmental organizations"
"33","V123_4","I do not have any confidence in women's organizations","0.789217319961451","V122_4","I do not have any confidence in environmental organizations"
"34","V124_4","I do not have any confidence in humanitarian organizations","0.75154274830897","V122_4","I do not have any confidence in environmental organizations"
"35","V122_1_Ref","I have a great deal of confidence in environmental organizations","0.788823911630929","V123_1_Ref","I have a great deal of confidence in women's organizations"
"36","V122_2","I have quite a lot of confidence in environmental organizations","0.771428571428571","V123_2","I have a great of confidence in women's organizations"
"37","V122_3","I do not have very much confidence in environmental organizations","0.749350649350649","V123_3","I do not have very much confidence in women's organizations"
"38","V122_4","I do not have any confidence in environmental organizations","0.789217319961451","V123_4","I do not have any confidence in women's organizations"
"39","V124_4","I do not have any confidence in humanitarian organizations","0.738141650422352","V123_4","I do not have any confidence in women's organizations"
"40","V122_4","I do not have any confidence in environmental organizations","0.75154274830897","V124_4","I do not have any confidence in humanitarian organizations"
