shortCountry,country,Onshore wind,Offshore wind,Wave device,Geothermal electric plant,Hydroelectric plant,Tidal turbine,Res. roof PV system,Com/gov/Indus roof PV system,Solar PV plant,CSP plant ,Sum(excludeHydro)
 ALB ,Albania,0.187101552,0.003139797,0,3.64E-14,0.308367107,0.001024686,0.127624397,0.243094089,0.046775388,0.082872985,0.691632894
 DZA ,Algeria,0.326378452,0.000239737,0.000744365,1.38E-05,0.001747442,7.52E-05,0.219806893,0.249709212,0.081594613,0.119690305,0.998252558
 AGO ,Angola,0.241406184,0.013839068,0.057372927,0,0.022661579,0.000394404,0.169936737,0.323689024,0.060351546,0.110348531,0.977338421
 ARG ,Argentina,0.190996105,0.15916342,0,0.010229457,0.051432184,0.00015704,0.214258451,0.213432559,0.047749026,0.112581758,0.948567816
 ARM ,Armenia,0.19170989,0,0,0.008078747,0.224147546,0,0.187901302,0.13878,0.157249671,0.092132845,0.775852455
 AUS ,Australia,0.200735776,0.167268847,0.057894519,0.002803234,0.031330175,0.00095794,0.137285659,0.111744141,0.181138013,0.108841696,0.968669825
 AUT ,Austria,0.446744944,0,0,3.37E-05,0.124415394,0,0.079329929,0.063641579,0.283322552,0.002511904,0.875584605
 AZE ,Azerbaijan,0.14952564,0,0,0,0.044621444,0,0.214214975,0.228690345,0.24830217,0.114645427,0.955378557
 BHR ,Bahrain,0.003823418,0.16891312,0,0,0,0.000154586,0.036950187,0.017375157,0.652802083,0.11998145,1.000000001
 BGD ,Bangladesh,0.057731561,0.058030231,0.005025815,0,0.002610301,0.000838022,0.278063287,0.078076224,0.400641455,0.118983103,0.997389698
 BLR ,Belarus,0.645492742,0,0,0.000301589,0.00055271,0,0.03831545,0.03406684,0.161373185,0.119897484,0.99944729
 BEL ,Belgium,0.04796421,0.177957373,0,2.23E-15,0.001488568,2.08E-05,0.014327275,0.012667263,0.74557449,0,0.998511432
 BEN ,Benin,0.226309285,0.188591071,0.008466414,0,0.000104114,0.000259131,0.253872596,0.146879627,0.056577321,0.118940441,0.999895886
 BOL ,Bolivia,0.223280599,0,0,0.153374675,0.033394706,0,0.150285018,0.286257178,0.05582015,0.097587674,0.966605294
 BIH ,Bosnia and Herzegovina,0.201165201,0.043187428,0,2.17E-14,0.251534471,9.32E-05,0.162094905,0.19543932,0.056680766,0.089804675,0.748465528
 BWA ,Botswana,0.27456,0,0,0,0,0,0.1848,0.352,0.06864,0.12,1
 BRA ,Brazil,0.17240156,0.143667967,0.008907309,2.56E-16,0.130277629,0.000139994,0.193399186,0.204824955,0.04310039,0.103281008,0.869722369
 BRN ,Brunei Darussalam,0.010395966,0.211137884,0.012448613,0,0,0.000394339,0.188454307,0.082467625,0.376242422,0.118458846,1.000000002
 BGR ,Bulgaria,0.441414576,0.10336003,0,6.20E-15,0.077961979,0.000172135,0.133412004,0.133325633,0.110353644,0,0.922038022
 KHM ,Cambodia,0.150164643,0.125137203,0,0,0.088050692,0.000402087,0.168453927,0.320864622,0.037541161,0.109385667,0.91194931
 CMR ,Cameroon,0.165167213,0.009193311,0.006886756,0,0.01912304,0.00014018,0.25789525,0.12014445,0.304587797,0.116862003,0.98087696
 CAN ,Canada,0.274857041,0.229047534,0.022445121,0.016526069,0.145054636,0.001807168,0.052950062,0.090898068,0.06871426,0.097700041,0.854945364
 CHL ,Chile,0.187032578,0.155860482,0.052841242,0.036454405,0.082246825,0.000611408,0.202202479,0.136650902,0.046758145,0.099341534,0.917753175
 CHN ,China,0.240766672,0.117654572,0.00032621,0.000466499,0.041271603,0.000137131,0.140762474,0.091391173,0.252287839,0.114935827,0.958728397
TWN,Chinese Taipei,0.02082546,0.217254225,0.001392403,0.286351031,0.009837447,6.21E-05,0.108305483,0.050915925,0.305055878,0,0.990162553
 COL ,Colombia,0.137022751,0.114185625,0.008071052,2.48E-15,0.156770051,0.003387151,0.153711419,0.292783655,0.034255688,0.09981261,0.843229951
 COG ,Congo,0.178146164,0.148455137,0.015859359,0,0.032031175,0.000473974,0.199843453,0.380654197,0.044536541,0,0.967968825
 ZAR ,"Congo, Democratic Republic of",0.380000972,0.005368444,0.000428256,0,0.041063286,1.90E-05,0.258660585,0.104440512,0.095000243,0.115018739,0.958936714
 CRI ,Costa Rica,0.056991831,0.01232125,0.028790512,0.28229523,0.236341116,0.001521779,0.083354292,0.15877008,0.085487746,0.054126163,0.763658883
 CIV ,Cote d'Ivoire,0.18423609,0.154126329,0.011772458,0,0.023881469,0.00025229,0.207477751,0.255608955,0.046953404,0.115691254,0.976118531
 HRV ,Croatia,0.097253253,0,0,9.94E-15,0.101990189,0.001787276,0.153823869,0.12007858,0.417520129,0.107546704,0.898009811
 CUB ,Cuba,0.154091121,0.128409268,0.059705246,0,0.003608412,0.001304147,0.17285863,0.329254533,0.03852278,0.112245863,0.996391588
 CYP ,Cyprus,0.083322554,0.16673332,0.016998781,0,0,0.001930527,0.2244487,0.22206021,0.166777426,0.117728483,1.000000001
