"","PC1","PC2","PC3","PC4","PC5"
"V9_1_Ref",-0.245,-0.25,-0.138,0.102,0.094
"V9_3",0.101,0.097,0.056,-0.054,-0.005
"V9_4",0.101,0.051,0.035,-0.096,-0.015
"V19_1_Ref",-0.181,-0.235,-0.163,0.071,0.105
"V26_0",-0.07,0.028,0.036,-0.186,-0.205
"V26_1_Ref",0.013,0,0.002,0.11,0.12
"V26_2",0.054,-0.021,-0.039,0.075,0.078
"V27_0",-0.04,0.019,-0.003,-0.176,-0.156
"V27_1_Ref",0.013,-0.003,0.018,0.1,0.101
"V27_2",0.024,-0.008,-0.017,0.075,0.047
"V30_0",-0.014,0.014,0.004,-0.136,-0.127
"V30_1_Ref",0.01,-0.008,0.002,0.088,0.087
"V31_0",-0.032,0.029,0.013,-0.123,-0.13
"V31_1_Ref",0.016,-0.011,0,0.069,0.086
"V32_0",-0.038,0.043,0.031,-0.135,-0.145
"V32_1_Ref",0.019,-0.014,-0.007,0.082,0.098
"V33_0",-0.015,0.01,-0.017,-0.125,-0.113
"V33_1_Ref",0.009,-0.004,0.009,0.086,0.085
"V34_0",0.001,-0.011,0.001,-0.177,-0.126
"V34_1_Ref",-0.001,0.005,0.005,0.094,0.082
"V37_1_Ref",-0.075,0.008,0.05,-0.099,0.027
"V40_1_Ref",-0.198,0.05,0.185,-0.07,0.076
"V41_1_Ref",-0.1,-0.034,0.016,-0.09,-0.003
"V43_1_Ref",-0.179,-0.181,0.112,-0.16,0.056
"V44_1_Ref",-0.057,-0.02,0.015,-0.034,0.064
"V75_1_Ref",-0.077,-0.097,-0.027,0.04,0.011
"V76_1_Ref",-0.036,-0.042,0.004,0.047,0.018
"V45_1_Ref",-0.179,-0.057,0.116,-0.085,0.017
"V49_1_Ref",-0.195,-0.124,0.027,0.097,-0.016
"V51_1_Ref",-0.129,-0.119,0.101,-0.053,-0.031
"V51_2",-0.05,0.072,0.087,-0.025,0.063
"V51_3",0.098,0.055,-0.087,0.056,0.062
"V51_4",0.069,-0.002,-0.093,0.038,-0.072
"V52_1_Ref",-0.049,-0.036,0.061,0.024,-0.016
"V53_1_Ref",-0.104,-0.081,0.092,-0.029,-0.034
"V53_2",-0.059,0.049,0.077,-0.041,0.042
"V53_3",0.082,0.056,-0.08,0.054,0.047
"V53_4",0.069,-0.022,-0.09,0.036,-0.039
"V85_3",-0.183,0.215,-0.085,-0.174,0.098
"V86_3",-0.119,0.255,-0.236,-0.129,0.019
"V87_2",0.076,-0.043,-0.135,0.062,0.088
"V87_3",-0.112,0.223,-0.114,-0.165,0.1
"V88_2",0.07,-0.068,-0.1,0.039,0.064
"V88_3",-0.11,0.259,-0.177,-0.169,0.121
"V89_3",-0.145,0.287,-0.139,-0.169,0.075
"V110_1_Ref",-0.024,-0.006,0.098,0.084,-0.024
"V110_2",0.015,0.138,0.093,0.036,0.055
"V110_3",0.04,-0.058,-0.086,-0.054,0.062
"V110_4",-0.023,-0.046,-0.107,-0.042,-0.079
"V111_1_Ref",-0.035,-0.003,0.118,0.094,-0.021
"V111_2",0.014,0.131,0.099,0.005,0.058
"V111_3",0.044,-0.075,-0.119,-0.054,0.037
"V111_4",-0.021,-0.037,-0.102,-0.03,-0.073
"V115_1_Ref",-0.034,0.014,0.2,0.025,-0.067
"V115_3",0.036,-0.043,-0.136,0.008,0.046
"V115_4",-0.021,-0.059,-0.15,-0.05,-0.083
"V116_1_Ref",-0.014,0.009,0.126,0.046,-0.03
"V116_2",0.002,0.128,0.146,0.068,0.078
"V116_4",-0.046,-0.096,-0.217,-0.082,-0.126
"V117_1_Ref",-0.018,0.014,0.175,0.048,-0.044
