"","PC1","PC2","PC3","PC4","PC5"
"V9_1_Ref",-0.245,-0.25,-0.138,0.102,NA
"V9_3",0.101,NA,NA,NA,NA
"V9_4",0.101,NA,NA,NA,NA
"V19_1_Ref",-0.181,-0.235,-0.163,NA,0.105
"V26_0",NA,NA,NA,-0.186,-0.205
"V26_1_Ref",NA,NA,NA,0.11,0.12
"V27_0",NA,NA,NA,-0.176,-0.156
"V27_1_Ref",NA,NA,NA,0.1,0.101
"V30_0",NA,NA,NA,-0.136,-0.127
"V31_0",NA,NA,NA,-0.123,-0.13
"V32_0",NA,NA,NA,-0.135,-0.145
"V33_0",NA,NA,NA,-0.125,-0.113
"V34_0",NA,NA,NA,-0.177,-0.126
"V40_1_Ref",-0.198,NA,0.185,NA,NA
"V41_1_Ref",-0.1,NA,NA,NA,NA
"V43_1_Ref",-0.179,-0.181,0.112,-0.16,NA
"V45_1_Ref",-0.179,NA,0.116,NA,NA
"V49_1_Ref",-0.195,-0.124,NA,NA,NA
"V51_1_Ref",-0.129,-0.119,0.101,NA,NA
"V53_1_Ref",-0.104,NA,NA,NA,NA
"V85_3",-0.183,0.215,NA,-0.174,NA
"V86_3",-0.119,0.255,-0.236,-0.129,NA
"V87_2",NA,NA,-0.135,NA,NA
"V87_3",-0.112,0.223,-0.114,-0.165,0.1
"V88_2",NA,NA,-0.1,NA,NA
"V88_3",-0.11,0.259,-0.177,-0.169,0.121
"V89_3",-0.145,0.287,-0.139,-0.169,NA
"V110_2",NA,0.138,NA,NA,NA
"V110_4",NA,NA,-0.107,NA,NA
"V111_1_Ref",NA,NA,0.118,NA,NA
"V111_2",NA,0.131,NA,NA,NA
"V111_3",NA,NA,-0.119,NA,NA
"V111_4",NA,NA,-0.102,NA,NA
"V115_1_Ref",NA,NA,0.2,NA,NA
"V115_3",NA,NA,-0.136,NA,NA
"V115_4",NA,NA,-0.15,NA,NA
"V116_1_Ref",NA,NA,0.126,NA,NA
"V116_2",NA,0.128,0.146,NA,NA
"V116_4",NA,NA,-0.217,NA,-0.126
"V117_1_Ref",NA,NA,0.175,NA,NA
"V117_2",NA,0.117,0.134,NA,0.105
"V117_3",NA,NA,-0.113,NA,NA
"V117_4",NA,NA,-0.203,NA,-0.109
"V122_1_Ref",NA,NA,NA,0.119,NA
"V122_2",NA,0.115,NA,NA,NA
"V123_1_Ref",NA,NA,NA,0.142,NA
"V123_2",NA,0.112,NA,NA,NA
"V222_5",-0.109,NA,NA,NA,-0.274
"V223_1_Ref",NA,NA,NA,-0.105,NA
"V223_5",-0.118,NA,NA,0.144,-0.247
"V225_1_Ref",-0.106,NA,NA,NA,-0.147
"V225_3",0.152,NA,NA,-0.128,NA
"V226_1_Ref",NA,NA,-0.143,0.168,-0.26
"V226_3",NA,NA,NA,-0.128,0.103
"V227_1_Ref",NA,NA,-0.134,0.197,-0.182
"V227_3",NA,NA,NA,-0.137,NA
"V146_1_Ref",-0.177,-0.267,NA,NA,0.199
"V153_1_Ref",-0.174,-0.243,NA,NA,NA
"V153_4",0.108,NA,NA,NA,NA
"V106_2",NA,NA,NA,NA,0.126
"V106_4",NA,NA,NA,NA,-0.153
"V107_3",NA,NA,NA,NA,0.102
"V107_4",-0.102,NA,NA,NA,-0.1
"V213_2",NA,NA,NA,NA,0.123
"V214_2",NA,NA,NA,NA,0.14
"V181_1_Ref",-0.124,0.131,-0.121,0.163,NA
"V181_4",NA,-0.116,NA,NA,NA
"V182_1_Ref",-0.132,NA,-0.15,0.17,NA
"V183_1_Ref",-0.161,0.108,-0.134,NA,NA
"V184_1_Ref",-0.158,NA,-0.141,0.118,NA
"V185_1_Ref",-0.155,NA,-0.122,NA,NA
"V185_4",0.131,-0.113,NA,NA,NA
"V188_4",NA,NA,NA,-0.2,NA
"V190_4",0.117,NA,NA,-0.189,NA
"V203_Very Low_Ref",-0.219,NA,0.156,NA,NA
"V203_ Very High",0.114,NA,NA,NA,NA
"V205_ Very High",0.1,NA,-0.103,NA,-0.1
"V206_ Very High",0.154,NA,-0.126,NA,-0.123
"V233_High",NA,NA,NA,NA,0.103
