Name,Manufacturer,Country,Offshore,Onshore,%Cost Over-Run 2017,Date
Collgar,Vestas,Australia,0,1,-3.18,2011
Hallett 5,Suzlon,Australia,0,1,4.71,2011
Woodlawn Wind Farm,Suzlon,Australia,0,1,10,2011
Oak Hills Wind Farm,Suzlon,Australia,0,1,-15.82,2012
Macarthur,Vestas,Australia,0,1,-3.43,2013
Mumbida,GE,Australia,0,1,-2.54,2013
Musselroe Bay,Vestas,Australia,0,1,-1.43,2013
North Longyuan Zhurihe,Goldwind,China,0,1,17.06,2008
Bayanzhuoer Wulanylilgeng,Goldwind,China,0,1,-0.36,2009
Guohua Tongliao Kezuo Zhongqi,Goudain,China,0,1,-3.22,2011
Middelgrunden,Bonus Energy,Denmark,1,0,6.45,2000
Samso,Bonus Energy,Denmark,1,0,-3.37,2003
Nysted,Bonus Energy,Denmark,1,0,0,2003
Horns Rev 1,Vestas,Denmark,1,0,21.36,2003
Alpha Ventus,Senvion/Areva,Germany,1,0,31.58,2010
Borkum West 2,Areva Wind,Germany,1,0,2.86,2013
Meerwind,Siemens,Germany,1,0,8.33,2014
Global Tech 1,Areva Wind,Germany,1,0,12.5,2015
DanTysk,Siemens,Germany,1,0,36.22,2015
Setana,Vestas,Japan,1,0,24.59,2009
Egmond aan Zee,Vestas,Netherlands,1,0,-4.98,2007
Jadraass,Vestas,Sweden,0,1,-0.05,2011
Lillgrund,Siemens,Sweden,1,0,17.7,2013
Chateaugay,GE,United States,0,1,-0.69,2009
Folwer Ridge,GE,United States,0,1,-4.82,2010
Cedar Creek II,Nordex/GE,United States,0,1,21.17,2010
Shepherd's Flat,GE,United States,0,1,-12,2012
