Country_Name,GEA Region,2629 - 3066 / Class 3 at 50m,3067 - 3504 / Class 4 at 50m,3505 - 3942 / Class 5 at 50m,3943 - 4000 / Class 6&7 at 50m
Aruba,LAC,80,0,0,0
Afghanistan,OSA,"44,008","15,193","6,633","9,785"
Angola,SAF,0,0,0,0
Anguilla,LAC,82,0,0,0
Albania,EEU,0,0,0,0
Andorra,WEU,0,0,0,0
Netherlands Antilles,LAC,588,0,0,0
United Arab Emirates,MEE,540,179,61,33
Argentina,LAC,"142,223","173,992","89,152","12,655"
Armenia,FSU,"1,381",451,207,254
American Samoa,PAS,0,0,0,0
Antigua & Barbuda,LAC,0,0,0,0
Australia,OCN,"339,143","78,515",0,0
Austria,WEU,"2,075","1,138",602,0
Azerbaijan,FSU,0,0,0,0
Burundi,SAF,0,0,0,0
Belgium,WEU,"2,625","1,613",0,0
Benin,WCA,0,0,0,0
Burkina Faso,WCA,0,0,0,0
Bangladesh,OSA,0,0,0,0
Bulgaria,EEU,0,0,0,0
Bahrain,MEE,0,0,0,0
The Bahamas,LAC,0,0,0,0
Bosnia & Herzegovina,EEU,0,0,0,0
Belarus,FSU,0,0,0,0
Belize,LAC,497,234,6,0
Bermuda,LAC,No Data,No Data,No Data,No Data
Bolivia,LAC,"20,736","5,875",0,0
Brazil,LAC,"1,225,289","754,534","517,807","727,712"
Barbados,LAC,0,0,0,0
Brunei,PAS,0,0,0,0
Bhutan,OSA,784,147,16,16
Botswana,SAF,0,0,0,0
Central African Republic,WCA,0,0,0,0
Canada,CAN,"1,357,662","635,789","294,430","424,536"
Switzerland,WEU,"2,142","2,339",0,0
Chile,LAC,"61,670","42,732","19,103","10,704"
China,CHN,"366,922","167,383","66,893","49,684"
Cote d'Ivoire,WCA,0,0,0,0
Cameroon,WCA,0,0,0,0
Congo,WCA,0,0,0,0
Colombia,LAC,"17,360","12,075","25,393","3,168"
Comoros,WCA,0,0,0,0
Cape Verde,WCA,0,0,0,0
Costa Rica,LAC,446,348,328,525
Cuba,LAC,"3,770",448,63,0
Cyprus,WEU,0,0,0,0
Czech Republic,EEU,"2,002","6,254","2,529",0
Germany,WEU,"7,811","6,151","1,391",23
Djibouti,WCA,0,0,0,0
Dominica,LAC,0,0,0,0
Denmark,WEU,"7,604","11,717","12,678","6,465"
Dominican Republic,LAC,"1,025",300,82,85
Algeria,NAF,0,0,0,0
Ecuador,LAC,"35,678","43,593","62,212","87,601"
Egypt,NAF,0,0,0,0
Eritrea,EAF,0,0,0,0
Western Sahara,WCA,0,0,0,0
Spain,WEU,"10,287","13,500",0,0
Estonia,FSU,"5,072","1,607",0,0
Ethiopia,EAF,0,0,0,0
Finland,WEU,"3,200","2,272",0,0
Fiji,PAS,0,0,0,0
Falkland Is.,LAC,0,0,0,0
France,WEU,"9,862","16,815",0,0
Faroe Is.,WEU,0,0,0,"1,423"
Micronesia,PAS,No Data,No Data,No Data,No Data
Gabon,WCA,0,0,0,0
United Kingdom,WEU,"32,208","34,405","56,567","23,755"
Georgia,FSU,0,0,0,0
Ghana,WCA,715,268,82,63
Gibraltar,WEU,8,0,0,0
Guinea,WCA,0,0,0,0
Guadeloupe,LAC,0,0,0,0
The Gambia,WCA,0,0,0,0
Guinea-Bissau,WCA,0,0,0,0
Equatorial Guinea,WCA,0,0,0,0
Greece,WEU,"1,907",0,0,0
Grenada,LAC,0,0,0,0
Greenland,WEU,"146,771","4,257",0,0
Guatemala,LAC,"1,877","1,003",320,245
French Guiana,LAC,0,0,0,0
Guam,USA,No Data,No Data,No Data,No Data
Guyana,LAC,0,0,0,0
Honduras,LAC,"2,880","1,211",485,476
Croatia,EEU,0,0,0,0
Haiti,LAC,0,0,0,0
Hungary,EEU,0,0,0,0
Indonesia,PAS,876,470,256,316
India,IND,0,0,0,0
Ireland,WEU,"12,945","3,998","6,720","2,590"
Iran,MEE,0,0,0,0
Iraq,MEE,0,0,0,0
Iceland,WEU,"29,969","14,184","15,467",580
Israel,MEE,0,0,0,0
Italy,WEU,"4,752","5,724","3,663",0
Jamaica,LAC,0,0,0,0
Jordan,MEE,0,0,0,0
Japan,JPN,"3,033","2,781",0,0
Kazakhstan,FSU,0,0,0,0
Kenya,EAF,0,0,0,0
Kyrgyzstan,FSU,0,0,0,0
Cambodia,OEA,0,0,0,0
St. Kitts & Nevis,LAC,0,0,0,0
South Korea,PAS,0,0,0,0
Kuwait,MEE,0,0,0,0
Laos,OEA,0,0,0,0
Lebanon,MEE,0,0,0,0
Liberia,WCA,0,0,0,0
Libya,NAF,0,0,0,0
St. Lucia,LAC,0,0,0,0
Liechtenstein,WEU,0,0,0,0
Sri Lanka,OSA,"6,119","2,341",788,"1,018"
Lesotho,SAF,0,0,0,0
Lithuania,FSU,15,520,0,0
Luxembourg,WEU,0,0,0,0
Latvia,FSU,0,"4,252",0,0
Morocco,NAF,"2,302",0,0,0
Monaco,WEU,0,0,0,0
Moldova,FSU,0,0,0,0
Madagascar,EAF,0,0,0,0
Maldives,OSA,96,0,0,0
Mexico,LAC,"24,003","6,815","3,184","4,685"
Macedonia,EEU,0,0,0,0
Mali,WCA,0,0,0,0
Malta,WEU,0,0,0,0
Myanmar,PAS,0,0,0,0
Mongolia,OEA,"130,881","20,802","6,406","2,816"
Montenegro,EEU,0,0,0,0
Mozambique,SAF,0,0,0,0
Mauritania,WCA,0,0,0,0
Montserrat,LAC,0,0,0,0
Martinique,LAC,0,0,0,0
Mauritius,EAF,0,0,0,0
Malawi,SAF,0,0,0,0
Malaysia,PAS,0,0,0,0
Mayotte,SAF,0,0,0,0
Namibia,SAF,0,0,0,0
New Caledonia,PAS,0,0,0,0
Niger,WCA,0,0,0,0
Nigeria,WCA,0,0,0,0
