"","V2","V258","V45","V46"
"1",12,1,1,-4
"2",12,1,1,-4
"3",12,1,1,-4
"4",12,1,2,-4
"5",12,1,1,-4
"6",12,1,2,-4
"7",12,1,1,-4
"8",12,1,1,-4
"9",12,1,1,-4
"10",12,1,1,-4
"11",12,1,2,-4
"12",12,1,1,-4
"13",12,1,2,-4
"14",12,1,1,-4
"15",12,1,2,-4
"16",12,1,1,-4
"17",12,1,1,-4
"18",12,1,2,-4
"19",12,1,1,-4
"20",12,1,2,-4
"21",12,1,-2,-4
"22",12,1,1,-4
"23",12,1,1,-4
"24",12,1,3,-4
"25",12,1,3,-4
"26",12,1,1,-4
"27",12,1,1,-4
"28",12,1,1,-4
"29",12,1,1,-4
"30",12,1,1,-4
"31",12,1,1,-4
"32",12,1,1,-4
"33",12,1,1,-4
"34",12,1,1,-4
"35",12,1,2,-4
"36",12,1,2,-4
"37",12,1,2,-4
"38",12,1,1,-4
"39",12,1,1,-4
"40",12,1,1,-4
"41",12,1,3,-4
"42",12,1,1,-4
"43",12,1,3,-4
"44",12,1,1,-4
"45",12,1,1,-4
"46",12,1,1,-4
"47",12,1,1,-4
"48",12,1,2,-4
"49",12,1,1,-4
"50",12,1,3,-4
"51",12,1,1,-4
"52",12,1,1,-4
"53",12,1,1,-4
"54",12,1,1,-4
"55",12,1,1,-4
"56",12,1,1,-4
"57",12,1,1,-4
"58",12,1,1,-4
"59",12,1,1,-4
"60",12,1,1,-4
"61",12,1,3,-4
"62",12,1,1,-4
"63",12,1,1,-4
"64",12,1,3,-4
"65",12,1,2,-4
"66",12,1,1,-4
"67",12,1,1,-4
"68",12,1,1,-4
"69",12,1,1,-4
"70",12,1,1,-4
"71",12,1,3,-4
"72",12,1,3,-4
"73",12,1,1,-4
"74",12,1,3,-4
"75",12,1,1,-4
"76",12,1,3,-4
"77",12,1,3,-4
"78",12,1,1,-4
"79",12,1,-2,-4
"80",12,1,1,-4
"81",12,1,3,-4
"82",12,1,3,-4
"83",12,1,3,-4
"84",12,1,3,-4
"85",12,1,3,-4
"86",12,1,3,-4
"87",12,1,1,-4
"88",12,1,3,-4
"89",12,1,-2,-4
"90",12,1,1,-4
"91",12,1,3,-4
"92",12,1,3,-4
"93",12,1,1,-4
"94",12,1,3,-4
"95",12,1,1,-4
"96",12,1,3,-4
"97",12,1,3,-4
