"","V2","V258","V59"
"1",12,1,10
"2",12,1,10
"3",12,1,6
"4",12,1,6
"5",12,1,4
"6",12,1,8
"7",12,1,5
"8",12,1,9
"9",12,1,8
"10",12,1,5
"11",12,1,6
"12",12,1,6
"13",12,1,5
"14",12,1,7
"15",12,1,8
"16",12,1,6
"17",12,1,5
"18",12,1,6
"19",12,1,5
"20",12,1,7
"21",12,1,5
"22",12,1,1
"23",12,1,5
"24",12,1,1
"25",12,1,-2
"26",12,1,5
"27",12,1,8
"28",12,1,5
"29",12,1,5
"30",12,1,8
"31",12,1,10
"32",12,1,5
"33",12,1,4
"34",12,1,8
"35",12,1,9
"36",12,1,6
"37",12,1,4
"38",12,1,9
"39",12,1,9
"40",12,1,10
"41",12,1,5
"42",12,1,10
"43",12,1,5
"44",12,1,7
"45",12,1,1
"46",12,1,6
"47",12,1,1
"48",12,1,7
"49",12,1,8
"50",12,1,8
"51",12,1,6
"52",12,1,2
"53",12,1,4
"54",12,1,8
"55",12,1,7
"56",12,1,3
"57",12,1,6
"58",12,1,5
"59",12,1,8
"60",12,1,7
"61",12,1,10
"62",12,1,8
"63",12,1,6
"64",12,1,10
"65",12,1,10
"66",12,1,10
"67",12,1,10
"68",12,1,5
"69",12,1,10
"70",12,1,6
"71",12,1,8
"72",12,1,1
"73",12,1,1
"74",12,1,1
"75",12,1,1
"76",12,1,8
"77",12,1,8
"78",12,1,1
"79",12,1,1
"80",12,1,1
"81",12,1,8
"82",12,1,8
"83",12,1,1
"84",12,1,8
"85",12,1,8
"86",12,1,8
"87",12,1,1
"88",12,1,8
"89",12,1,1
"90",12,1,1
"91",12,1,1
"92",12,1,1
"93",12,1,1
"94",12,1,1
"95",12,1,1
"96",12,1,8
"97",12,1,8
"98",12,1,1
"99",12,1,1
"100",12,1,1
"101",12,1,8
"102",12,1,8
"103",12,1,8
"104",12,1,8
"105",12,1,1
"106",12,1,1
"107",12,1,1
"108",12,1,1
"109",12,1,1
"110",12,1,1
"111",12,1,8
"112",12,1,1
"113",12,1,1
"114",12,1,8
"115",12,1,1
"116",12,1,1
"117",12,1,1
"118",12,1,1
"119",12,1,8
"120",12,1,8
"121",12,1,8
"122",12,1,8
"123",12,1,1
"124",12,1,8
"125",12,1,8
"126",12,1,1
"127",12,1,8
"128",12,1,1
"129",12,1,1
"130",12,1,1
"131",12,1,3
"132",12,1,5
"133",12,1,4
"134",12,1,3
"135",12,1,5
"136",12,1,6
"137",12,1,2
"138",12,1,4
"139",12,1,6
"140",12,1,6
"141",12,1,4
"142",12,1,2
"143",12,1,6
"144",12,1,5
"145",12,1,3
"146",12,1,5
"147",12,1,4
"148",12,1,2
"149",12,1,4
"150",12,1,3
"151",12,1,6
"152",12,1,6
"153",12,1,8
"154",12,1,8
"155",12,1,2
"156",12,1,2
"157",12,1,7
"158",12,1,8
"159",12,1,6
"160",12,1,10
"161",12,1,5
"162",12,1,4
"163",12,1,8
"164",12,1,5
"165",12,1,1
"166",12,1,3
"167",12,1,8
"168",12,1,7
"169",12,1,7
"170",12,1,3
"171",12,1,7
"172",12,1,9
"173",12,1,7
"174",12,1,5
"175",12,1,7
"176",12,1,8
"177",12,1,2
"178",12,1,10
"179",12,1,10
"180",12,1,7
"181",12,1,8
"182",12,1,8
"183",12,1,10
"184",12,1,10
"185",12,1,3
"186",12,1,5
"187",12,1,5
"188",12,1,5
"189",12,1,7
"190",12,1,1
"191",12,1,9
"192",12,1,10
"193",12,1,7
"194",12,1,8
"195",12,1,9
"196",12,1,8
"197",12,1,8
"198",12,1,10
"199",12,1,10
"200",12,1,10
"201",12,1,6
"202",12,1,8
"203",12,1,10
"204",12,1,10
"205",12,1,8
"206",12,1,5
"207",12,1,10
"208",12,1,10
"209",12,1,10
"210",12,1,7
"211",12,1,6
"212",12,1,7
"213",12,1,8
"214",12,1,7
"215",12,1,6
"216",12,1,7
"217",12,1,8
"218",12,1,7
"219",12,1,7
"220",12,1,7
"221",12,1,7
"222",12,1,6
"223",12,1,7
"224",12,1,10
"225",12,1,7
"226",12,1,7
"227",12,1,7
"228",12,1,8
"229",12,1,7
"230",12,1,7
"231",12,1,7
"232",12,1,5
"233",12,1,7
"234",12,1,7
"235",12,1,8
"236",12,1,7
"237",12,1,6
"238",12,1,7
"239",12,1,6
"240",12,1,8
"241",12,1,8
"242",12,1,6
"243",12,1,8
"244",12,1,8
"245",12,1,5
"246",12,1,7
"247",12,1,10
"248",12,1,7
"249",12,1,8
"250",12,1,1
"251",12,1,7
"252",12,1,10
"253",12,1,9
"254",12,1,8
"255",12,1,10
"256",12,1,5
"257",12,1,4
"258",12,1,6
"259",12,1,4
"260",12,1,6
"261",12,1,5
"262",12,1,5
"263",12,1,7
"264",12,1,7
"265",12,1,6
"266",12,1,6
"267",12,1,2
"268",12,1,5
"269",12,1,10
"270",12,1,6
"271",12,1,7
"272",12,1,4
"273",12,1,7
"274",12,1,7
"275",12,1,8
"276",12,1,10
"277",12,1,1
"278",12,1,8
"279",12,1,9
"280",12,1,1
"281",12,1,5
"282",12,1,7
"283",12,1,1
"284",12,1,8
"285",12,1,7
"286",12,1,7
"287",12,1,3
"288",12,1,5
"289",12,1,4
"290",12,1,1
"291",12,1,8
"292",12,1,5
"293",12,1,2
"294",12,1,10
"295",12,1,6
"296",12,1,9
"297",12,1,6
"298",12,1,3
"299",12,1,7
"300",12,1,4
"301",12,1,7
"302",12,1,9
"303",12,1,5
"304",12,1,5
"305",12,1,1
"306",12,1,7
"307",12,1,10
"308",12,1,8
"309",12,1,8
"310",12,1,6
"311",12,1,10
"312",12,1,7
"313",12,1,1
"314",12,1,10
"315",12,1,8
"316",12,1,8
"317",12,1,7
"318",12,1,8
"319",12,1,5
"320",12,1,10
"321",12,1,8
"322",12,1,6
"323",12,1,5
"324",12,1,3
"325",12,1,5
"326",12,1,6
"327",12,1,4
"328",12,1,6
"329",12,1,4
"330",12,1,5
"331",12,1,6
"332",12,1,4
"333",12,1,5
"334",12,1,6
"335",12,1,5
"336",12,1,8
"337",12,1,6
"338",12,1,5
"339",12,1,3
"340",12,1,3
"341",12,1,5
"342",12,1,7
"343",12,1,6
"344",12,1,7
"345",12,1,3
"346",12,1,6
"347",12,1,4
"348",12,1,6
"349",12,1,5
"350",12,1,7
"351",12,1,7
"352",12,1,6
"353",12,1,5
"354",12,1,7
"355",12,1,5
"356",12,1,6
"357",12,1,5
"358",12,1,2
"359",12,1,7
"360",12,1,6
"361",12,1,7
"362",12,1,3
"363",12,1,4
"364",12,1,8
"365",12,1,5
"366",12,1,4
"367",12,1,5
"368",12,1,6
"369",12,1,3
"370",12,1,10
"371",12,1,7
"372",12,1,6
"373",12,1,1
"374",12,1,1
"375",12,1,1
"376",12,1,1
"377",12,1,6
"378",12,1,8
"379",12,1,4
"380",12,1,5
"381",12,1,7
"382",12,1,7
"383",12,1,6
"384",12,1,5
"385",12,1,7
"386",12,1,4
"387",12,1,7
"388",12,1,7
"389",12,1,8
"390",12,1,5
"391",12,1,8
"392",12,1,8
"393",12,1,4
"394",12,1,4
"395",12,1,5
"396",12,1,3
"397",12,1,4
"398",12,1,5
"399",12,1,5
"400",12,1,5
"401",12,1,8
"402",12,1,10
"403",12,1,2
"404",12,1,10
"405",12,1,7
"406",12,1,5
"407",12,1,5
"408",12,1,1
"409",12,1,9
"410",12,1,8
"411",12,1,4
"412",12,1,7
"413",12,1,-2
"414",12,1,8
"415",12,1,8
"416",12,1,10
"417",12,1,5
"418",12,1,6
"419",12,1,4
"420",12,1,10
"421",12,1,6
"422",12,1,7
"423",12,1,8
"424",12,1,5
"425",12,1,10
"426",12,1,6
"427",12,1,2
"428",12,1,5
"429",12,1,7
"430",12,1,6
"431",12,1,3
"432",12,1,5
"433",12,1,4
"434",12,1,5
"435",12,1,5
"436",12,1,5
"437",12,1,7
"438",12,1,3
"439",12,1,5
"440",12,1,7
"441",12,1,6
"442",12,1,5
"443",12,1,6
"444",12,1,7
"445",12,1,3
"446",12,1,6
"447",12,1,5
"448",12,1,6
"449",12,1,9
"450",12,1,5
"451",12,1,7
"452",12,1,6
"453",12,1,7
"454",12,1,6
"455",12,1,7
"456",12,1,8
"457",12,1,7
"458",12,1,6
"459",12,1,3
"460",12,1,6
"461",12,1,3
"462",12,1,4
"463",12,1,6
"464",12,1,7
"465",12,1,5
"466",12,1,3
"467",12,1,5
"468",12,1,6
"469",12,1,8
"470",12,1,4
"471",12,1,7
"472",12,1,5
"473",12,1,5
"474",12,1,1
"475",12,1,6
"476",12,1,8
"477",12,1,7
"478",12,1,7
"479",12,1,10
"480",12,1,9
"481",12,1,7
"482",12,1,9
"483",12,1,10
"484",12,1,8
"485",12,1,8
"486",12,1,6
"487",12,1,8
"488",12,1,9
"489",12,1,4
"490",12,1,5
"491",12,1,5
"492",12,1,6
"493",12,1,8
"494",12,1,6
"495",12,1,8
"496",12,1,5
"497",12,1,6
"498",12,1,3
"499",12,1,8
"500",12,1,2
"501",12,1,8
"502",12,1,6
"503",12,1,6
"504",12,1,4
"505",12,1,6
"506",12,1,3
"507",12,1,4
"508",12,1,7
"509",12,1,4
"510",12,1,3
"511",12,1,6
"512",12,1,4
"513",12,1,5
"514",12,1,5
"515",12,1,5
"516",12,1,5
"517",12,1,5
"518",12,1,5
"519",12,1,5
"520",12,1,8
"521",12,1,3
"522",12,1,5
"523",12,1,3
"524",12,1,10
"525",12,1,5
"526",12,1,5
"527",12,1,5
"528",12,1,5
"529",12,1,4
"530",12,1,4
"531",12,1,7
"532",12,1,7
"533",12,1,5
"534",12,1,7
"535",12,1,5
"536",12,1,5
"537",12,1,5
"538",12,1,5
"539",12,1,-2
"540",12,1,1
"541",12,1,10
"542",12,1,10
"543",12,1,7
"544",12,1,10
"545",12,1,-1
"546",12,1,6
"547",12,1,5
"548",12,1,5
"549",12,1,-2
"550",12,1,-2
"551",12,1,1
"552",12,1,1
"553",12,1,5
"554",12,1,5
"555",12,1,1
"556",12,1,5
"557",12,1,5
"558",12,1,8
"559",12,1,5
"560",12,1,5
"561",12,1,9
"562",12,1,10
"563",12,1,5
"564",12,1,2
"565",12,1,8
"566",12,1,5
"567",12,1,5
"568",12,1,7
"569",12,1,3
"570",12,1,5
"571",12,1,8
"572",12,1,10
"573",12,1,6
"574",12,1,8
"575",12,1,5
"576",12,1,8
"577",12,1,6
"578",12,1,6
"579",12,1,7
"580",12,1,6
"581",12,1,8
"582",12,1,8
"583",12,1,6
"584",12,1,10
"585",12,1,5
"586",12,1,2
"587",12,1,5
"588",12,1,6
"589",12,1,5
"590",12,1,1
"591",12,1,4
"592",12,1,4
"593",12,1,8
"594",12,1,3
"595",12,1,7
"596",12,1,5
"597",12,1,5
"598",12,1,7
"599",12,1,6
"600",12,1,7
"601",12,1,9
"602",12,1,5
"603",12,1,4
"604",12,1,7
"605",12,1,6
"606",12,1,8
"607",12,1,7
"608",12,1,5
"609",12,1,10
"610",12,1,10
"611",12,1,3
"612",12,1,4
"613",12,1,6
"614",12,1,4
"615",12,1,6
"616",12,1,6
"617",12,1,7
"618",12,1,8
"619",12,1,6
"620",12,1,8
"621",12,1,5
"622",12,1,5
"623",12,1,7
"624",12,1,7
"625",12,1,10
"626",12,1,10
"627",12,1,9
"628",12,1,5
"629",12,1,9
"630",12,1,3
"631",12,1,9
"632",12,1,9
"633",12,1,7
"634",12,1,9
"635",12,1,6
"636",12,1,4
"637",12,1,4
"638",12,1,5
"639",12,1,6
"640",12,1,2
"641",12,1,8
"642",12,1,3
"643",12,1,1
"644",12,1,8
"645",12,1,8
"646",12,1,1
"647",12,1,8
"648",12,1,8
"649",12,1,1
"650",12,1,1
"651",12,1,5
"652",12,1,5
"653",12,1,5
"654",12,1,5
"655",12,1,5
"656",12,1,1
"657",12,1,5
"658",12,1,10
"659",12,1,5
"660",12,1,5
"661",12,1,5
"662",12,1,6
"663",12,1,7
"664",12,1,5
"665",12,1,8
"666",12,1,5
"667",12,1,3
"668",12,1,5
"669",12,1,7
"670",12,1,5
"671",12,1,6
"672",12,1,4
"673",12,1,5
"674",12,1,5
"675",12,1,10
"676",12,1,5
"677",12,1,7
"678",12,1,1
"679",12,1,8
"680",12,1,5
"681",12,1,6
"682",12,1,4
"683",12,1,4
"684",12,1,4
"685",12,1,6
"686",12,1,5
"687",12,1,6
"688",12,1,6
"689",12,1,6
"690",12,1,4
"691",12,1,4
"692",12,1,3
"693",12,1,3
"694",12,1,7
"695",12,1,6
"696",12,1,3
"697",12,1,4
"698",12,1,-2
"699",12,1,7
"700",12,1,4
"701",12,1,5
"702",12,1,8
"703",12,1,6
"704",12,1,7
"705",12,1,5
"706",12,1,10
"707",12,1,6
"708",12,1,6
"709",12,1,7
"710",12,1,5
"711",12,1,4
"712",12,1,10
"713",12,1,1
"714",12,1,-1
"715",12,1,10
"716",12,1,5
"717",12,1,1
"718",12,1,10
"719",12,1,9
"720",12,1,5
"721",12,1,4
"722",12,1,5
"723",12,1,4
"724",12,1,3
"725",12,1,2
"726",12,1,3
"727",12,1,8
"728",12,1,6
"729",12,1,7
"730",12,1,2
"731",12,1,7
"732",12,1,7
"733",12,1,6
"734",12,1,6
"735",12,1,6
"736",12,1,7
"737",12,1,8
"738",12,1,9
"739",12,1,7
"740",12,1,4
"741",12,1,7
"742",12,1,10
"743",12,1,8
"744",12,1,10
"745",12,1,6
"746",12,1,7
"747",12,1,8
"748",12,1,7
"749",12,1,7
"750",12,1,3
"751",12,1,5
"752",12,1,5
"753",12,1,5
"754",12,1,5
"755",12,1,5
"756",12,1,5
"757",12,1,6
"758",12,1,5
"759",12,1,5
"760",12,1,1
"761",12,1,9
"762",12,1,6
"763",12,1,3
"764",12,1,10
"765",12,1,-2
"766",12,1,7
"767",12,1,5
"768",12,1,10
"769",12,1,6
"770",12,1,5
"771",12,1,6
"772",12,1,6
"773",12,1,9
"774",12,1,8
"775",12,1,10
"776",12,1,4
"777",12,1,5
"778",12,1,10
"779",12,1,6
"780",12,1,8
"781",12,1,8
"782",12,1,5
"783",12,1,7
"784",12,1,5
"785",12,1,5
"786",12,1,5
"787",12,1,2
"788",12,1,7
"789",12,1,7
"790",12,1,8
"791",12,1,5
"792",12,1,9
"793",12,1,10
"794",12,1,10
"795",12,1,10
"796",12,1,9
"797",12,1,10
"798",12,1,6
"799",12,1,6
"800",12,1,10
"801",12,1,8
"802",12,1,4
"803",12,1,7
"804",12,1,9
"805",12,1,7
"806",12,1,7
"807",12,1,7
"808",12,1,7
"809",12,1,5
"810",12,1,-2
"811",12,1,5
"812",12,1,3
"813",12,1,2
"814",12,1,3
"815",12,1,5
"816",12,1,2
"817",12,1,6
"818",12,1,7
"819",12,1,9
"820",12,1,8
"821",12,1,10
